id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
niceonesa.com,1,1,527419,1.5596,0.766,,Nice One
alkhabeershop.com,2,10,503673,7.8526,0.3255,,
goldenscent.com,3,0,382645,1.3071,0.7436,,
ibrahimalqurashi.com,4,0,354434,2.731,0.7044,,
fragrantica.com,5,0,300647,4.224,0.4298,,
arabianoud.com,6,-5,292670,1.3758,0.8164,,
fragranticarabia.com,7,8,259437,2.7909,0.5589,,
sephora.sa,8,-2,236282,2.1578,0.7529,,
faces.com,9,10,216087,3.0099,0.5386,,
weheartthis.com,10,0,147675,1.4545,0.7273,,
swissarabian.com,11,13,94325,2.7116,0.4288,,
247mirror.com,12,0,88131,1.0057,0.9943,,
stylekorean.com,13,-4,87485,3.8773,0.3088,,
thebeautysecrets.com,14,2,79440,4.3975,0.5379,,
loccitane.com,15,0,68679,3.7758,0.2083,,
sephora.fr,16,0,53700,1.0,1.0,,
fragrance.com,17,-7,50921,3.5133,0.5931,,
beautybay.com,18,9,46211,3.1522,0.3246,,
perfectcorp.com,19,0,45147,1.0217,0.9783,,
ducray.com,20,0,40275,1.0,1.0,,
