id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
wajibati.net,1,0,4190205,2.7681,0.5514,,
ktby.net,2,1,1792299,3.3679,0.4335,,
almaany.com,3,-1,1617230,1.7366,0.7863,,
sahl.io,4,0,1361691,3.8966,0.4993,,
wordwall.net,5,0,1223173,2.3278,0.5768,,Wordwall
udemy.com,6,0,938946,3.5851,0.516,https://static.semrush.com/power-pages/media/favicons/udemy-com-favicon-21d92c84.png,Udemy
pearsonvue.com,7,1,923131,2.8924,0.3755,,
stackoverflow.com,8,-1,913464,1.2709,0.8489,https://static.semrush.com/power-pages/media/favicons/stackoverflow-com-favicon-d2a17223.ico,Stack Overflow
daralharf.com,9,17,851838,14.4318,0.2695,,
coursera.org,10,4,771275,3.3083,0.4578,https://static.semrush.com/power-pages/media/favicons/coursera-org-favicon-7169eafb.png,Coursera
hululktaab.com,11,7,653453,3.1843,0.4199,,
quizizz.com,12,11,608538,2.0873,0.523,https://static.semrush.com/power-pages/media/favicons/quizizz-com-favicon-924b99fb.png,Quizizz
byjus.com,13,0,554709,1.6085,0.6928,,BYJU’S
quizlet.com,14,10,457383,2.528,0.5435,,Quizlet
w3schools.com,15,0,444765,2.8419,0.6467,,W3Schools
arabou.edu.kw,16,1,436541,2.9173,0.4381,,
duolingo.com,17,-6,427442,1.2511,0.8615,https://static.semrush.com/power-pages/media/favicons/duolingo-com-favicon-bcce2029.ico,Duolingo
baamboozle.com,18,3,404146,1.6585,0.8369,,
urdupoint.com,19,-3,393842,4.1584,0.2602,,
cambridge.org,20,-1,393404,1.5893,0.795,https://static.semrush.com/power-pages/media/favicons/cambridge-org-favicon-3787ba24.ico,Cambridge
