id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
amazon.sa,1,0,21841254,5.8141,0.4869,,
aliexpress.com,2,0,14550903,2.5248,0.6942,,AliExpress
jarir.com,3,0,9268498,1.4436,0.7416,,
noon.com,4,2,8791309,2.0512,0.6544,,Noon
salla.sa,5,0,7702173,3.4211,0.526,,
shein.com,6,1,7601062,2.1624,0.594,https://static.semrush.com/power-pages/media/favicons/shein-com-favicon-47ceee2d.png,SHEIN
samsung.com,7,-3,6456976,2.2018,0.6995,https://static.semrush.com/power-pages/media/favicons/samsung-com-favicon-fe8c4b2a.png,Samsung
opensooq.com,8,0,4374272,1.3441,0.87,,OpenSooq
extra.com,9,1,3507039,2.4079,0.5598,,
nahdionline.com,10,-1,3469922,2.5273,0.6527,,Nahdi Online Pharmacy
mtlnovel.com,11,8,3224009,9.4688,0.2709,,
trendyol.com,12,0,2649683,2.6274,0.7121,https://static.semrush.com/power-pages/media/favicons/trendyol-com-favicon-d739e4c4.ico,Trendyol
saco.sa,13,15,2292049,3.4215,0.5796,,
playstation.com,14,-1,1991164,1.9332,0.6423,https://static.semrush.com/power-pages/media/favicons/playstation-com-favicon-475f3690.png,PlayStation
centrepointstores.com,15,1,1991138,2.01,0.7153,,
ebay.com,16,6,1985997,4.4217,0.6686,https://static.semrush.com/power-pages/media/favicons/ebay-com-favicon-67c7209c.png,eBay
iherb.com,17,-3,1942745,2.5754,0.5789,https://static.semrush.com/power-pages/media/favicons/iherb-com-favicon-84b0a349.ico,iHerb
sony.com,18,-1,1832062,1.8966,0.6615,,
al-dawaa.com,19,-8,1783362,1.7746,0.7574,,Al-Dawaa
namshi.com,20,0,1757955,2.2612,0.64,,
