id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
duckduckgo.com,1,0,4690887,2.4252,0.481,https://static.semrush.com/power-pages/media/favicons/duckduckgo-com-favicon-6a39c9fc.png,DuckDuckGo
othaimmarkets.com,2,0,1610163,1.3431,0.8072,,
tamimimarkets.com,3,1,1331379,1.373,0.7961,,
hungerstation.com,4,-1,938977,1.171,0.8782,,
carrefourksa.com,5,0,549842,2.5689,0.6715,,
mcdonalds.com,6,2,464890,1.3974,0.8177,https://static.semrush.com/power-pages/media/favicons/mcdonalds-com-favicon-56ed9994.jpg,McDonald's
dominos.sa,7,-1,423885,1.8477,0.6109,,
safwat-aljawf.com,8,1,417046,1.0803,0.9197,,
algharbis.com,9,13,227975,3.4078,0.4711,,
coffeesouq1.com,10,0,189793,9.2242,0.3573,,
almarai.com,11,5,183801,1.5678,0.5977,,
danube.sa,12,1,157371,2.1387,0.6191,,
baja.com.sa,13,0,136476,2.6497,0.3959,,
thecheesecakefactoryme.com,14,0,121147,1.223,0.777,,
yuzu-emu.org,15,-3,109896,1.5361,0.6564,,
pepsicojobs.com,16,0,94984,1.2879,0.7121,,
homecafesa.com,17,-3,94473,1.1526,0.8526,,
cafesriyadh.com,18,0,70675,2.1427,0.0472,,
almohsen-shop.com,19,5,69527,2.8158,0.4182,,
bulk.com,20,0,69117,6.5044,0.3885,,
