id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
indeed.com,1,0,1332909,2.7952,0.4264,https://static.semrush.com/power-pages/media/favicons/indeed-com-favicon-121a0618.ico,
16personalities.com,2,0,765602,3.0362,0.4189,,
mawarid.com.sa,3,7,296921,1.6362,0.5678,,
jobstreet.com,4,2,201697,1.4659,0.7338,,
talent.com,5,7,188480,3.8793,0.3898,,
tanqeeb.com,6,-3,181820,3.335,0.4189,,
naukrigulf.com,7,-3,175990,2.4532,0.4997,,
appcast.io,8,5,115098,1.0206,0.9865,,
workable.com,9,6,100770,1.5431,0.499,,
jobstreet.com.ph,10,-3,95746,9.5935,0.424,,
tamkeenhr.com,11,10,93975,1.4286,0.7143,,
jooble.org,12,-1,89069,2.8596,0.3044,https://static.semrush.com/power-pages/media/favicons/jooble-org-favicon-7abfd684.png,Jooble
workabroad.ph,13,-4,89038,8.3077,0.339,,
smartrecruiters.com,14,-9,77133,1.3855,0.6841,,
michaelpage.ae,15,0,74448,1.3302,0.9476,,
seek.com.au,16,6,59189,2.7059,0.6825,https://static.semrush.com/power-pages/media/favicons/www-seek-com-au-favicon-85cc3322.png,SEEK
trabajo.org,17,0,56537,2.4811,0.2519,,
smasco.com,18,-10,46260,1.6842,0.6836,,
indeedassessments.com,19,0,43334,2.0409,0.3135,,
eightfold.ai,20,9,41500,1.0211,0.9958,,
