id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
soundcloud.com,1,0,1720522,1.5852,0.6451,https://static.semrush.com/power-pages/media/favicons/soundcloud-com-favicon-cb20269e.ico,SoundCloud
spotify.com,2,0,1463950,2.1396,0.5914,https://static.semrush.com/power-pages/media/favicons/spotify-com-favicon-ff2831d2.png,Spotify
genius.com,3,0,479231,1.5786,0.6684,https://static.semrush.com/power-pages/media/favicons/genius-com-favicon-b59f5c6e.ico,Genius
ultimate-guitar.com,4,4,419416,1.8749,0.6273,https://static.semrush.com/power-pages/media/favicons/ultimate-guitar-com-favicon-cf8d32b3.png,Ultimate Guitar
khinsider.com,5,-1,337827,1.4322,0.7583,,
adawliahshop.com,6,4,245647,2.9334,0.4783,,
chordseasy.com,7,0,234875,1.3996,0.6859,,
vocalremover.org,8,-3,211009,1.662,0.6089,,
jiosaavn.com,9,0,209824,1.064,0.936,,
shazam.com,10,5,189384,1.421,0.8534,,
fb.me,11,-4,175087,1.0767,0.9233,,
gaana.com,12,-1,150308,1.1468,0.8565,,
chosic.com,13,7,120609,1.8592,0.6884,,
amazon.de,14,-5,100576,2.2448,0.7034,https://static.semrush.com/power-pages/media/favicons/amazon-de-favicon-ca6619b8.ico,Mondkalender 2022
smule.com,15,0,95032,1.4315,0.8216,,
macdownload.org,16,-10,93975,2.2857,0.5714,,
last.fm,17,7,82998,1.2265,0.8149,,
wynk.in,18,8,81943,1.059,0.9471,,
rockabilia.com,19,0,80550,2.8333,0.6667,,
hungama.com,20,0,73126,1.0162,0.9838,,
