id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
hungerstation.com,1,0,938977,1.171,0.8782,,
mcdonalds.com,2,1,464890,1.3974,0.8177,https://static.semrush.com/power-pages/media/favicons/mcdonalds-com-favicon-56ed9994.jpg,McDonald's
dominos.sa,3,-1,423885,1.8477,0.6109,,
tgifridaysme.com,4,4,82605,3.0415,0.3416,,
steak21.id,5,0,80550,1.3333,0.8333,,
pizzahut.me,6,-1,68769,1.3046,0.7994,,
mcdonaldsapps.com,7,-3,63401,1.0108,0.9892,,
chatfood.io,8,3,56013,1.0146,0.9882,,
centuryburger.com,9,-2,53700,1.25,0.75,,
fartleyfarms.com,10,0,40275,1.0,1.0,,
swiggy.com,11,0,29838,1.5835,0.5167,https://static.semrush.com/power-pages/media/favicons/www-swiggy-com-favicon-b15125c0.ico,Swiggy
delicious.com.au,12,0,27348,1.0,1.0,,
nandos.co.uk,13,0,27025,1.5227,0.4968,,
ubereats.com,14,9,21327,2.0136,0.8271,,Uber Eats
foodpanda.ph,15,0,15915,2.0313,0.0,,
fatsecret.com,16,0,15592,1.1278,0.9681,,FatSecret
elmenus.com,17,7,15130,1.0329,0.9671,,
alfaco.com.sa,18,0,15094,1.033,0.967,,
what3words.com,19,0,14975,2.1263,0.0,,
timhortons.com,20,0,14582,1.0,1.0,,
