id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
filgoal.com,1,0,4995413,2.6902,0.3695,https://static.semrush.com/power-pages/media/favicons/filgoal-com-favicon-30f1f1b8.png,FilGoal
yallakora.com,2,0,2553538,2.0141,0.5138,,YallaKora
chess.com,3,0,1750867,3.6508,0.315,https://static.semrush.com/power-pages/media/favicons/chess-com-favicon-0a31d2ed.png,Chess.com
espncricinfo.com,4,0,1743225,1.4364,0.7885,https://static.semrush.com/power-pages/media/favicons/espncricinfo-com-favicon-793f565b.png,ESPN Cricinfo
cricbuzz.com,5,1,1501798,4.2748,0.2715,https://static.semrush.com/power-pages/media/favicons/cricbuzz-com-favicon-5a4ece68.png,Cricbuzz
hihi2.com,6,2,1209533,2.3589,0.4309,,
goal.com,7,3,1146935,1.9583,0.5646,https://static.semrush.com/power-pages/media/favicons/goal-com-favicon-f02a1ed1.png,Goal.com
mundodeportivo.com,8,4,1021015,3.0512,0.4215,https://static.semrush.com/power-pages/media/favicons/mundodeportivo-com-favicon-549d5612.png,Mundo Deportivo
livefpl.net,9,0,1016636,1.8493,0.4834,,
transfermarkt.com,10,3,724118,4.5951,0.3837,https://static.semrush.com/power-pages/media/favicons/transfermarkt-com-favicon-70461da8.png,Transfermarkt
mobilecric.com,11,10,712521,1.963,0.5087,,
cricinfo.com,12,2,671250,1.3,0.78,,
195sports.com,13,3,560333,2.0342,0.3015,,
spl.com.sa,14,0,539066,1.0811,0.9387,,
basketball-reference.com,15,0,529284,2.1943,0.3637,https://static.semrush.com/power-pages/media/favicons/www-basketball-reference-com-favicon-0a4b4316.png,
btolat.com,16,-9,497469,2.0103,0.4914,,
padi.com,17,0,485951,3.9345,0.3891,,
mixlr.com,18,0,476526,1.1409,0.8591,,
crackstreams.biz,19,0,431238,1.8252,0.6973,,
hoopshype.com,20,0,403715,2.5634,0.1017,,
