id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
haraj.com.sa,1,0,18554490,1.8051,0.7019,https://static.semrush.com/power-pages/media/favicons/haraj-com-sa-favicon-d4966141.png,Haraj
opensooq.com,2,0,4374272,1.3441,0.87,,OpenSooq
expatriates.com,3,0,1508046,6.8532,0.3821,,
toyota.com.sa,4,0,1195592,2.4957,0.5144,,
syarah.com,5,0,1063721,1.5026,0.7318,,Syarah
3rooodnews.net,6,0,1027332,2.4611,0.5571,,
wmadaat.com,7,13,732605,1.3644,0.7668,,
motory.com,8,-1,652838,2.83,0.6255,,Motory
nissan-saudiarabia.com,9,2,595615,1.373,0.8569,,
yallamotor.com,10,12,573350,1.771,0.6799,,
dongchedi.com,11,2,457031,1.713,0.6464,,
key.sa,12,0,400802,2.4813,0.6549,,KEY Car Rental
salehcars.com,13,-4,372894,3.5675,0.4819,,
mg-sa.com,14,0,343326,1.8686,0.6764,,
speero.net,15,-5,325169,2.0791,0.5069,,
aljfinance.com,16,-4,315057,2.8874,0.3629,,
petromin-nissan.com,17,0,291654,1.5316,0.6151,,
kia.com,18,-4,288373,2.7619,0.4131,,Kia Motors
hatla2ee.com,19,0,281012,4.1169,0.6379,,
hyundai.com,20,1,271302,3.6594,0.5207,,Hyundai
