id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
jasmin.rs,1,0,443501,3.4445,0.5334,,
fragrantica.com,2,2,425946,4.5924,0.3774,,
alexandar-cosmetics.com,3,-1,373205,3.3536,0.4519,,
punmiris.com,4,-1,231939,2.0462,0.6824,,
avenalab.com,5,3,93951,4.9911,0.3915,,
avon.rs,6,0,64111,5.1831,0.2553,,
metropoliten.rs,7,6,62886,1.8647,0.5182,,
avon-brochure.com,8,3,58180,1.425,0.7537,,
gbs.rs,9,-2,54101,2.5708,0.6827,,
sephora.com,10,0,44333,1.9671,0.379,,Sephora
essence.eu,11,7,42676,1.4673,0.6297,,
perfectcorp.com,12,0,34114,1.0,1.0,,
cvrlehairshop.rs,13,-4,26136,4.6492,0.4126,,
incidecoder.com,14,3,24785,2.171,0.6061,,
hederavita.rs,15,0,21247,2.8887,0.4982,,
loccitane.com,16,-2,20203,1.7573,0.9488,,
pacificabeauty.com,17,-5,18988,1.0,1.0,,
saloninfo.rs,18,0,18550,1.8284,0.7206,,
douglas.de,19,0,16851,2.3155,0.3485,,
caretobeauty.com,20,0,16296,1.8988,0.6314,,
