id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
yahoo.com,1,0,2537721,2.536,0.563,,Yahoo
eway2pay.com,2,2,1550689,2.0268,0.1779,,
raiffeisenbank.rs,3,0,1389093,1.8476,0.5891,,
posted.co.rs,4,-2,789245,3.5212,0.4328,,
nbs.rs,5,0,704109,1.5485,0.7169,,
paypal.com,6,0,508370,4.538,0.3541,https://static.semrush.com/power-pages/media/favicons/paypal-com-favicon-ed31bc43.png,PayPal
erstebank.rs,7,0,419534,2.9231,0.6337,,
kursna-lista.com,8,0,395155,1.2241,0.8103,,
coinmarketcap.com,9,0,361520,1.9682,0.6512,https://static.semrush.com/power-pages/media/favicons/coinmarketcap-com-favicon-e687767a.png,CoinMarketCap
binance.com,10,5,261398,3.0861,0.5636,https://static.semrush.com/power-pages/media/favicons/binance-com-favicon-43365839.ico,Binance
kapitalrs.com,11,-1,243686,1.3637,0.8486,,
businessinsider.com,12,7,175830,1.1046,0.9111,https://static.semrush.com/power-pages/media/favicons/businessinsider-com-favicon-cd841902.png,Business Insider
coingecko.com,13,3,170777,2.8538,0.377,https://static.semrush.com/power-pages/media/favicons/coingecko-com-favicon-32358cfd.png,CoinGecko
iqbroker.com,14,0,165166,1.0093,0.9913,https://static.semrush.com/power-pages/media/favicons/iqbroker-com-favicon-4818c588.png,IQ Option
biznis.rs,15,2,161096,1.1879,0.8775,,
merchantsafeunipay.com,16,0,160715,1.6296,0.584,,
xe.com,17,0,143293,1.127,0.8828,https://static.semrush.com/power-pages/media/favicons/xe-com-favicon-592e3c52.ico,XE.com
herominers.com,18,-7,135145,1.2431,0.9281,,
splitwise.com,19,0,128169,1.2593,0.8519,,
procreditbank.rs,20,5,126364,1.9001,0.5356,,
