id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
mozzartbet.com,1,0,6210440,1.9395,0.6601,,
maxbet.rs,2,0,2463510,2.6322,0.5601,,
soccerbet.rs,3,0,2441896,2.0929,0.6475,,
merkurxtip.rs,4,6,987483,2.0188,0.5923,,
t1x2.net,5,-1,797768,6.3962,0.2114,,
balkanbet.rs,6,3,648370,2.5604,0.6497,,
bet365.mx,7,0,499591,2.353,0.5702,,
bet365.com,8,-2,343298,1.903,0.5807,,Bet365
utakmice.net,9,-1,261481,1.2392,0.8277,,
oktagonbet.com,10,1,248494,2.2667,0.5589,,
livescore.in,11,-6,225485,3.8431,0.4972,https://static.semrush.com/power-pages/media/favicons/www-livescore-in-favicon-2a0011d0.png,LiveScore India
sportske-kladionice.com,12,0,210266,4.8336,0.3293,,
sportytrader.com,13,4,195167,1.682,0.5856,,
365.rs,14,-2,189184,3.4274,0.6186,,
odds.am,15,-2,160907,1.452,0.7162,,
sportradar.com,16,-2,132513,1.9877,0.764,,
bet365affiliates.com,17,3,123422,1.1923,0.8462,,
starbet.rs,18,-2,102775,1.8393,0.5899,,
topbet.rs,19,-1,85012,1.4138,0.6592,,
bilijar.club,20,-5,53927,1.9278,0.6245,,
