id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
stetoskop.info,1,0,1518504,1.1419,0.8966,,
mediately.co,2,0,610810,1.1918,0.8579,,
nih.gov,3,1,513904,1.7507,0.773,https://static.semrush.com/power-pages/media/favicons/nih-gov-favicon-6c30e540.ico,National Institutes of Health
healthline.com,4,4,385990,1.2733,0.8254,,Healthline Media
kupoman.rs,5,0,337991,2.9664,0.4695,,
beo-lab.rs,6,1,324025,1.3648,0.8606,,
pansport.rs,7,9,285688,2.1082,0.6817,,
belmedic.rs,8,12,262662,1.4698,0.7543,,
euromedic.rs,9,3,246462,1.974,0.6519,,
bebo.club,10,1,237298,1.4335,0.8264,,
medigroup.rs,11,-5,216142,1.1843,0.8598,,
vzsbeograd.edu.rs,12,-9,209274,1.8938,0.569,,
bebac.com,13,1,193733,1.3653,0.8619,,
rfzo.rs,14,-5,188494,1.9783,0.6553,,
doktor.rs,15,-5,182647,1.337,0.8106,,
labomedica.net,16,3,175084,1.3534,0.8093,,
medicalnewstoday.com,17,8,154009,1.0246,0.9767,https://static.semrush.com/power-pages/media/favicons/medicalnewstoday-com-favicon-28e75580.png,Medical News Today
mayoclinic.org,18,0,115161,1.1967,0.8093,,Mayo Clinic
zdravlje.gov.rs,19,-2,111491,3.0564,0.5145,,
prirodnolecenje.com,20,4,105155,1.1648,0.8474,,
