id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
icmarkets.com,1,4,44973,3.7382,0.3443,,
nyse.com,2,12,9494,1.0,1.0,,
morganstanley.com,3,15,7162,2.0116,0.711,https://static.semrush.com/power-pages/media/favicons/www-morganstanley-com-favicon-0ab66a3f.png,Morgan Stanley
trading212.com,4,-1,6742,1.3604,0.8198,,
blackrock.com,5,8,5017,1.0,1.0,https://static.semrush.com/power-pages/media/favicons/blackrock-com-favicon-56bcf7f3.png,BlackRock
etfdb.com,6,1,4927,1.0,1.0,,
erstemarket.hu,7,0,4747,1.0,1.0,,
justetf.com,8,-6,4747,4.0,0.0,,
portfoliovisualizer.com,9,7,4747,2.0,0.0,,
vwdservices.com,10,0,4747,1.0,1.0,,
forexfactory.com,11,0,2865,1.8168,0.7801,,
mql5.com,12,0,2310,7.4416,0.4286,,
bullionbypost.eu,13,8,2160,2.7569,0.3611,,
myfxbook.com,14,-8,2085,1.6763,0.5827,,
zerodha.com,15,0,2070,3.0,0.087,https://static.semrush.com/power-pages/media/favicons/zerodha-com-favicon-ee40bcfc.png,Zerodha
fpmarkets.com,16,9,1815,2.9008,0.6198,,
niftytrader.in,17,0,1260,1.3571,0.6429,,
vanguard.com,18,-8,1215,1.0,1.0,,Vanguard
babypips.com,19,0,1140,1.0,1.0,,
ark-invest.com,20,4,1035,1.3333,0.6667,,
