id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
nekretnine.rs,1,1,1329527,3.9054,0.6066,,
4zida.rs,2,1,1181607,2.0082,0.6676,,
sasomange.rs,3,-2,1104301,1.8141,0.7266,,
oglasi.rs,4,0,693223,3.5411,0.5495,,
cityexpert.rs,5,0,383775,2.2002,0.6406,,
nadjidom.com,6,2,341562,3.8612,0.5902,,
beobuild.rs,7,0,266416,3.8709,0.4305,,
immobilienscout24.de,8,2,224593,3.5224,0.5922,https://static.semrush.com/power-pages/media/favicons/immobilienscout24-de-favicon-ff8875aa.ico,ImmobilienScout 24
nepremicnine.net,9,3,184151,3.4145,0.4153,,
blocket.se,10,11,129355,2.5438,0.4263,https://static.semrush.com/power-pages/media/favicons/blocket-se-favicon-03076b37.png,Blocket
splitwise.com,11,0,128169,1.2593,0.8519,,
divisnekretnine.rs,12,4,124562,3.9421,0.3079,,
flatfox.ch,13,13,109181,3.2609,0.3913,,
srbija-nekretnine.org,14,-1,98607,1.8295,0.5443,,
gohome.rs,15,-4,94809,2.473,0.6363,,
svenekretnine.com,16,2,76865,2.8173,0.6942,,
indomio.rs,17,-8,73522,2.367,0.5396,,
immoscout24.ch,18,0,71205,1.8667,0.6667,,
fastighetsbyran.com,19,6,61711,1.1538,0.8462,,
belgradewaterfront.com,20,-6,61341,1.7328,0.6913,,
