id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
mts.rs,1,1,3365617,2.0153,0.6023,,
a1.rs,2,-1,3262130,2.3012,0.5701,,
mobilnisvet.com,3,3,1652500,3.2008,0.4391,,
eon.tv,4,1,1492940,1.8589,0.6048,,
benchmark.rs,5,3,1411630,2.6379,0.4572,,
sbb.rs,6,3,1286642,1.8955,0.5041,,
samsung.com,7,-4,1253894,1.7412,0.757,https://static.semrush.com/power-pages/media/favicons/samsung-com-favicon-fe8c4b2a.png,Samsung
telekom.rs,8,2,963476,3.5885,0.2441,,
viber.com,9,-5,925221,1.3127,0.7925,,Viber
gsmarena.com,10,1,915763,3.3606,0.4426,https://static.semrush.com/power-pages/media/favicons/gsmarena-com-favicon-3c06be64.ico,GSMArena
aladin.info,11,-4,627559,1.7861,0.59,,
speedtest.net,12,0,350616,1.322,0.7981,https://static.semrush.com/power-pages/media/favicons/speedtest-net-favicon-b9ced8c4.png,Speedtest
mojtv.hr,13,9,239204,1.633,0.6103,,
oriontelekom.rs,14,2,224978,2.0198,0.6271,,
globaltel.rs,15,4,222594,2.2574,0.3531,,
huawei.com,16,-2,208637,1.3825,0.8077,https://static.semrush.com/power-pages/media/favicons/huawei-com-favicon-1082d335.png,Huawei
superstartv.rs,17,-4,192979,1.1672,0.87,,
xiaomiserbia.com,18,8,178521,1.4895,0.734,,
axe.rs,19,0,178105,1.6945,0.6148,,
mojasupernova.rs,20,-3,138047,1.8587,0.3736,,
