id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
openai.com,1,1,19752321,1.7374,0.6603,,
office.com,2,2,12724603,1.7662,0.5926,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico,SmartSystem
github.com,3,0,6503875,2.0394,0.6281,https://static.semrush.com/power-pages/media/favicons/github-com-favicon-346e0947.png,GitHub
telegram.org,4,1,5573306,2.73,0.4089,,Telegram
wordpress.com,5,-4,5037391,2.9171,0.593,https://static.semrush.com/power-pages/media/favicons/wordpress-com-favicon-f9797465.png,WordPress
canva.com,6,2,4885113,2.5619,0.4696,,Canva
zoom.us,7,0,4753689,2.0722,0.5109,https://static.semrush.com/power-pages/media/favicons/zoom-us-favicon-6216d0f4.ico,Zoom
discord.com,8,-2,4395880,2.0256,0.6466,https://static.semrush.com/power-pages/media/favicons/discord-com-favicon-07dca80a.ico,Discord
ntu.edu.sg,9,0,4020500,4.4389,0.3863,,
imgur.com,10,0,3933421,1.3088,0.7824,https://static.semrush.com/power-pages/media/favicons/imgur-com-favicon-c0c62393.png,Imgur
stackoverflow.com,11,0,3195206,1.297,0.8246,https://static.semrush.com/power-pages/media/favicons/stackoverflow-com-favicon-d2a17223.ico,Stack Overflow
medium.com,12,2,2222140,1.2458,0.8576,https://static.semrush.com/power-pages/media/favicons/medium-com-favicon-18758d01.png,Medium
adobe.com,13,4,2175178,1.9596,0.6148,https://static.semrush.com/power-pages/media/favicons/adobe-com-favicon-9940bec6.png,Adobe
onelink.to,14,6,2043412,1.2222,0.8192,,
dropbox.com,15,1,1931176,2.7329,0.5448,https://static.semrush.com/power-pages/media/favicons/dropbox-com-favicon-5346f07d.png,Dropbox
stripe.com,16,8,1628436,1.5033,0.7033,,
qualtrics.com,17,0,1559830,1.9072,0.7663,https://static.semrush.com/power-pages/media/favicons/qualtrics-com-favicon-0a491c21.png,Qualtrics
discordapp.com,18,9,1533060,1.5009,0.7768,,
snaptik.app,19,-7,1527427,1.6242,0.6829,https://static.semrush.com/power-pages/media/favicons/snaptik-app-favicon-e4fed3c3.png,
mirrored.to,20,2,1484433,5.2571,0.1357,,
