id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
office.com,1,2,12724603,1.7662,0.5926,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico,SmartSystem
microsoftonline.com,2,0,11421008,1.824,0.5288,,
live.com,3,3,7868975,2.6726,0.4215,,
form.gov.sg,4,0,6664704,1.3975,0.782,,
nus.edu.sg,5,3,6664194,4.4908,0.3996,,
novelfull.com,6,-5,6156003,7.686,0.2601,,
boxnovel.com,7,0,5949419,15.4481,0.2081,,BoxNovel
go.gov.sg,8,2,5790960,1.1867,0.8592,,
zoom.us,9,0,4753689,2.0722,0.5109,https://static.semrush.com/power-pages/media/favicons/zoom-us-favicon-6216d0f4.ico,Zoom
ntu.edu.sg,10,1,4020500,4.4389,0.3863,,
kpu.go.id,11,8,2918591,2.9159,0.5225,,
moe.gov.sg,12,3,2790153,2.3352,0.6131,,
tinyurl.com,13,3,2702053,1.3101,0.8042,,
123moviesfree.net,14,-9,2236395,2.9625,0.4935,,
singaporetech.edu.sg,15,5,2158212,4.3878,0.3076,,
outlook.com,16,9,1650067,1.1411,0.8716,https://static.semrush.com/power-pages/media/favicons/outlook-com-favicon-ac16fa7f.ico,Outlook
smu.edu.sg,17,7,1456883,4.8361,0.3686,,
google.com.hk,18,-5,1356738,2.771,0.4779,,Google Hong Kong
padlet.org,19,0,1334753,1.475,0.7446,,
padlet.com,20,0,1271112,1.4952,0.727,,
