id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
uniqlo.com,1,0,1223279,2.8691,0.5295,,UNIQLO
shein.com,2,1,570423,5.413,0.5902,https://static.semrush.com/power-pages/media/favicons/shein-com-favicon-47ceee2d.png,SHEIN
mercari.com,3,4,437499,4.052,0.4383,https://static.semrush.com/power-pages/media/favicons/mercari-com-favicon-22d946f8.png,Mercari
zalora.sg,4,2,304934,3.064,0.5662,,
asos.com,5,4,280971,11.2996,0.4626,,ASOS
lovebonito.com,6,-2,258560,1.7193,0.6481,,
shop.app,7,12,239748,1.1425,0.8978,,
hm.com,8,2,232009,1.6743,0.7939,https://static.semrush.com/power-pages/media/favicons/hm-com-favicon-1732fb0a.png,H&M
purpur.com.sg,9,0,209980,8.55,0.25,,
louisvuitton.com,10,13,207753,2.1506,0.5991,,Louis Vuitton
charleskeith.com,11,-3,205995,3.2757,0.5567,,
myntra.com,12,-7,181091,2.1022,0.8038,,Myntra
desigual.com,13,0,161503,2.5592,0.5993,,
stockx.com,14,14,157802,1.4622,0.7598,,StockX
lululemon.com.hk,15,9,150920,3.8066,0.4752,,
zara.com,16,-3,145779,1.762,0.5897,https://static.semrush.com/power-pages/media/favicons/zara-com-favicon-c65ba3c7.png,Zara
cottonon.com,17,10,128728,6.3381,0.2763,,Cotton On
pullandbear.com,18,0,121241,1.8505,0.5786,,Pull and Bear
pacsafe.com,19,0,111879,1.3211,0.7815,,
onitsukatiger.com,20,0,101483,2.1519,0.5682,,
