id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
duckduckgo.com,1,0,23048032,2.2548,0.508,https://static.semrush.com/power-pages/media/favicons/duckduckgo-com-favicon-6a39c9fc.png,DuckDuckGo
tabsquare.com,2,0,5598537,3.8395,0.4295,,
fairprice.com.sg,3,0,3234006,2.0226,0.6522,,
foodpanda.sg,4,0,1019447,2.3344,0.6326,,
oddle.me,5,3,736612,1.4789,0.7147,,
dominos.com.sg,6,3,725098,2.0376,0.5314,,
eatbook.sg,7,-2,628234,1.2051,0.8805,,
mcdonalds.com.sg,8,2,512989,1.9197,0.6662,,
masterofmalt.com,9,3,466264,1.3708,0.7479,,
saucenao.com,10,-4,366198,3.0939,0.2578,,
danielfooddiary.com,11,-4,339844,1.1701,0.8874,,
burgerking.com.my,12,0,336542,1.0675,0.9359,,
rasamalaysia.com,13,15,298898,1.0447,0.961,,
recipetineats.com,14,0,285277,1.3861,0.8488,,RecipeTin Eats
whisky.fr,15,0,241477,1.1304,0.913,,
giant.sg,16,11,225960,2.9754,0.4315,,
greatdeals.com.sg,17,2,222983,1.4653,0.7304,,
thewhiskyexchange.com,18,0,200575,1.1625,0.838,,
confirmgood.com,19,6,199067,1.1993,0.8184,,
ohsho.co.jp,20,10,178484,1.7647,0.4118,,
