id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
income.com.sg,1,1,1586057,2.6531,0.4941,,
greateasternlife.com,2,1,687167,2.6666,0.5951,,
aia.com.sg,3,-2,686397,3.6099,0.4855,,
fwd.com.sg,4,2,633845,2.3572,0.4211,,
prudential.com.sg,5,0,521740,4.7289,0.3951,,
singlife.com,6,-2,313101,3.1494,0.3391,,
manulife.com,7,0,182290,2.4215,0.3447,,
manulife.com.sg,8,4,114101,1.3324,0.8086,,
greateasterngeneral.com,9,0,99537,1.5593,0.7216,,
ojk.go.id,10,13,79164,2.5763,0.441,,
aas.com.sg,11,0,73761,1.683,0.443,,
policybazaar.com,12,6,66991,1.4312,0.8741,,PolicyBazaar
valuechampion.sg,13,0,63995,1.3211,0.7559,,
tiq.com.sg,14,1,60119,1.3276,0.768,,
kurnia.com,15,0,52495,3.2,0.6,,
aia.com.my,16,-8,46479,3.1994,0.4765,,
hlas.com.sg,17,0,43442,2.2363,0.3226,,
fwd.com,18,1,42891,1.3595,0.6673,,
chubb.com,19,-3,42313,2.9478,0.2383,https://static.semrush.com/power-pages/media/favicons/chubb-com-favicon-11c45658.ico,Chubb
sunlifemalaysia.com,20,0,41996,6.0,0.25,,
