id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
spotify.com,1,0,3482088,2.0219,0.617,https://static.semrush.com/power-pages/media/favicons/spotify-com-favicon-ff2831d2.png,Spotify
genius.com,2,0,1973839,1.3788,0.7778,https://static.semrush.com/power-pages/media/favicons/genius-com-favicon-b59f5c6e.ico,Genius
soundcloud.com,3,0,722099,1.4334,0.712,https://static.semrush.com/power-pages/media/favicons/soundcloud-com-favicon-cb20269e.ico,SoundCloud
ultimate-guitar.com,4,0,692124,2.0816,0.741,https://static.semrush.com/power-pages/media/favicons/ultimate-guitar-com-favicon-cf8d32b3.png,Ultimate Guitar
musescore.com,5,5,625894,1.8391,0.7259,,
mojim.com,6,1,497718,1.5425,0.7845,,
shazam.com,7,1,471093,1.2806,0.7901,,
smule.com,8,8,407556,1.415,0.7476,,
chordtela.com,9,-3,291351,2.3617,0.4874,,Chord Tela
kkbox.com,10,2,287703,1.207,0.8379,,
songsterr.com,11,0,231051,1.5335,0.6591,,
soundguys.com,12,16,195809,1.1759,0.83,,
vocadb.net,13,0,191244,2.4841,0.5042,,
jspinyin.net,14,0,171527,1.7991,0.5682,,
sweelee.com.sg,15,0,166258,4.3628,0.1993,,
last.fm,16,-2,149158,2.1786,0.7147,,
statsforspotify.com,17,12,142382,1.407,0.65,,
audiosciencereview.com,18,0,138279,1.9376,0.5421,,
virtualsheetmusic.com,19,0,137453,1.3913,0.8425,,
khinsider.com,20,0,127119,2.667,0.6155,,
