id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
foodpanda.sg,1,0,1019447,2.3344,0.6326,,
oddle.me,2,0,736612,1.4789,0.7147,,
dominos.com.sg,3,0,725098,2.0376,0.5314,,
order.place,4,0,717630,1.4322,0.881,,
mcdonalds.com.sg,5,-1,512989,1.9197,0.6662,,
burgerking.com.my,6,6,336542,1.0675,0.9359,,
foodline.sg,7,2,280556,1.4321,0.8641,,
kfc.com.sg,8,-3,248272,2.4357,0.4173,,
greatdeals.com.sg,9,-3,222983,1.4653,0.7304,,
mcdelivery.com.sg,10,-2,156860,9.9893,0.2458,,
shout.sg,11,-4,156385,1.1248,0.9523,,
mcdonaldsapps.com,12,0,117012,1.2896,0.8996,,
burgerking.com.sg,13,-2,95259,2.2527,0.5937,,
marche-movenpick.sg,14,3,90702,1.4549,0.8653,,
paradisegp.com,15,-5,89163,1.8802,0.5641,,
canadian-pizza.com,16,0,87301,3.181,0.3739,,
happycow.net,17,0,79137,1.6683,0.6436,,HappyCow
kfc.com.my,18,-3,66439,1.342,0.6667,,KFC Malaysia
zomato.com,19,0,60532,1.874,0.5962,,
mcdonalds.com,20,0,56585,1.7422,0.6289,https://static.semrush.com/power-pages/media/favicons/mcdonalds-com-favicon-56ed9994.jpg,McDonald's
