id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
sciencedirect.com,1,0,967170,1.8653,0.7794,,ScienceDirect
wiley.com,2,2,449537,1.4295,0.7614,,John Wiley & Sons
arxiv.org,3,-1,422830,1.3666,0.7693,,
elsevier.com,4,1,269239,1.9278,0.565,https://static.semrush.com/power-pages/media/favicons/elsevier-com-favicon-c0e62f50.png,Elsevier
overleaf.com,5,-2,210374,3.5028,0.3048,,Overleaf
lse.ac.uk,6,0,192480,3.8552,0.4828,,
space.com,7,0,168102,1.0949,0.9533,,
mdpi.com,8,-2,160925,1.3305,0.8359,,
understandingwar.org,9,3,104990,1.9,0.2,,
aisingapore.org,10,16,94984,2.2818,0.6539,,
rwth-aachen.de,11,0,67802,7.7557,0.1788,,
doi.org,12,3,63319,1.0334,0.9717,,
hellodd.com,13,0,62994,1.0,1.0,,
semanticscholar.org,14,-1,62891,1.7529,0.7536,,
fernuni-hagen.de,15,-6,52495,8.2,0.4,,
acm.org,16,-2,49141,1.2283,0.833,,
rsc.org,17,2,42829,1.7864,0.6561,,
wur.nl,18,0,40499,1.4394,0.8441,,
copernicus.org,19,0,39439,3.1611,0.1167,,
typeset.io,20,0,37284,1.7871,0.7225,,
