id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
lta.gov.sg,1,2,2505764,3.0647,0.639,,
smrt.com.sg,2,5,1586686,1.2675,0.8385,,
transitlink.com.sg,3,3,1028627,1.789,0.6359,,
17track.net,4,-3,877631,3.1214,0.1449,https://static.semrush.com/power-pages/media/favicons/17track-net-favicon-1b4f9a6e.png,17TRACK
singpost.com,5,7,802948,1.6698,0.6291,,
gothere.sg,6,-1,714339,3.0579,0.5511,,
ninjavan.co,7,7,607880,1.3286,0.8276,,Ninja Van
you.co,8,0,563399,1.4383,0.7552,,
landtransportguru.net,9,2,462260,2.1475,0.6437,,
nextbuses.sg,10,10,417995,1.6558,0.4712,,
usps.com,11,2,388331,1.3926,0.72,,USPS
dhl.com,12,-3,381522,3.4266,0.321,,DHL
sgtrains.com,13,0,355435,1.4862,0.631,,
spx.sg,14,5,352469,1.4507,0.7419,,
tracking.my,15,15,338656,1.2562,0.7457,,
ktmb.com.my,16,-1,314584,3.5569,0.3757,,
easybook.com,17,0,285317,2.4832,0.4494,,
fedex.com,18,-2,271745,2.9612,0.3907,,FedEx
railway.app,19,0,264601,1.2792,0.7219,,
wanderlog.com,20,7,261837,1.1623,0.8708,,
