id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
sgcarmart.com,1,1,4904206,9.1058,0.3257,,
buyee.jp,2,1,530026,11.7609,0.4589,,Buyee
mudah.my,3,9,462853,3.0549,0.1524,,Mudah.my
motorist.sg,4,3,423141,1.3767,0.9188,,
bonbanh.com,5,8,420282,11.9416,0.4005,,
mycarforum.com,6,10,276307,3.4069,0.6131,,
getgo.sg,7,-1,275225,1.7345,0.6286,,
droplink.co,8,-7,268524,1.2749,0.7251,,
formula1.com,9,0,251783,2.0029,0.5116,https://static.semrush.com/power-pages/media/favicons/www-formula1-com-favicon-8af4e915.png,Formula 1
cdc.com.sg,10,-5,226911,1.7852,0.649,,
olx.co.id,11,12,197212,1.4723,0.7651,,OLX Indonesia
mairimashitairuma-kun.com,12,-3,190642,1.7525,0.6757,,
sgbikemart.com.sg,13,0,185114,4.5594,0.588,,
pollev.com,14,5,175172,1.4023,0.7388,,
bikewale.com,15,5,173725,1.3923,0.6879,,BikeWale
michelin.com,16,1,153686,1.7145,0.7717,,
toyota.com.ph,17,0,148778,1.4386,0.6428,,
caranddriver.com,18,0,141722,1.6291,0.6244,,Car and Driver
jpj.gov.my,19,3,135799,2.0111,0.6892,,
usnews.com,20,0,129333,1.3714,0.8339,,
