id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
microsoftonline.com,1,1,12711416,1.9802,0.4717,,
google.co.za,2,-1,10566490,3.1942,0.3899,,
office.com,3,0,10327837,1.8639,0.6419,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico,SmartSystem
unisa.ac.za,4,3,5074782,5.1419,0.345,,
live.com,5,0,5069605,2.77,0.4475,,
zoom.us,6,2,4168193,2.1351,0.5136,https://static.semrush.com/power-pages/media/favicons/zoom-us-favicon-6216d0f4.ico,Zoom
nsfas.org.za,7,-3,3783147,2.1897,0.4974,,
123moviesfree.net,8,-2,3722223,3.0682,0.4086,,
uct.ac.za,9,3,3458933,3.6609,0.4293,,
up.ac.za,10,1,3052092,5.0339,0.4105,,
outlook.com,11,5,2395615,1.3985,0.7475,https://static.semrush.com/power-pages/media/favicons/outlook-com-favicon-ac16fa7f.ico,Outlook
mandela.ac.za,12,5,2362573,4.8207,0.3949,,
wits.ac.za,13,2,2339549,4.9525,0.4645,,
dut.ac.za,14,13,1735100,2.8081,0.4029,,
tinyurl.com,15,-5,1705586,1.3511,0.8455,,
ukzn.ac.za,16,-2,1674467,4.898,0.4064,,
govpage.co.za,17,8,1610650,1.4206,0.8704,,
uj.ac.za,18,-9,1579430,5.843,0.3625,,
cput.ac.za,19,2,1472606,3.0814,0.4349,,
office365.com,20,2,1407148,1.9156,0.6269,https://static.semrush.com/power-pages/media/favicons/office365-com-favicon-12e3dac8.ico,Microsoft 365
