id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
youtube.com,1,0,365412599,5.7566,0.3989,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png,YouTube
instagram.com,2,1,31580374,2.1177,0.7021,https://static.semrush.com/power-pages/media/favicons/instagram-com-favicon-b407fa10.png,Instagram
twitter.com,3,-1,30377301,1.885,0.7154,https://static.semrush.com/power-pages/media/favicons/twitter-com-favicon-8ea219d0.png,Twitter
wikipedia.org,4,0,27008369,1.774,0.6737,https://static.semrush.com/power-pages/media/favicons/wikipedia-org-favicon-904ce6bd.ico,Wikipedia
bbc.com,5,2,8755644,2.3454,0.4315,https://static.semrush.com/power-pages/media/favicons/bbc-com-favicon-65d5fda0.jpg,BBC
dailymaverick.co.za,6,2,8610612,1.9425,0.6057,,
imdb.com,7,-2,7359123,2.3966,0.5366,https://static.semrush.com/power-pages/media/favicons/imdb-com-favicon-0f70e9b9.png,IMDB
iol.co.za,8,-2,6873918,1.2502,0.8242,,
foxnews.com,9,4,6402665,2.5292,0.377,https://static.semrush.com/power-pages/media/favicons/foxnews-com-favicon-bfeed514.png,Fox News
dstv.com,10,1,6019441,1.9601,0.6382,,
goal.com,11,-2,5624100,2.44,0.4932,https://static.semrush.com/power-pages/media/favicons/goal-com-favicon-f02a1ed1.png,Goal.com
cnn.com,12,0,3915885,1.7124,0.5535,https://static.semrush.com/power-pages/media/favicons/cnn-com-favicon-43177be7.ico,CNN
nytimes.com,13,1,3343652,1.5691,0.693,https://static.semrush.com/power-pages/media/favicons/nytimes-com-favicon-319373aa.png,The New York Times
dailymail.co.uk,14,-4,3078413,1.9605,0.5208,https://static.semrush.com/power-pages/media/favicons/dailymail-co-uk-favicon-2e69051a.png,Daily Mail
bbc.co.uk,15,3,3027331,1.3052,0.8287,https://static.semrush.com/power-pages/media/favicons/bbc-co-uk-favicon-4f3b9e56.ico,BBC Three
theguardian.com,16,-1,2945822,1.4609,0.7781,https://static.semrush.com/power-pages/media/favicons/theguardian-com-favicon-fee5e2d6.png,The Guardian US
sport.es,17,5,2147460,3.2286,0.2,https://static.semrush.com/power-pages/media/favicons/sport-es-favicon-e9c5c800.png,
sky.com,18,-1,2146805,2.0045,0.4218,https://static.semrush.com/power-pages/media/favicons/sky-com-favicon-97b2129b.png,Sky UK
news.com.au,19,0,1940273,1.7635,0.492,,News.com.au
mundodeportivo.com,20,0,1886841,2.756,0.3171,https://static.semrush.com/power-pages/media/favicons/mundodeportivo-com-favicon-549d5612.png,Mundo Deportivo
