id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
kfc.co.za,1,0,2055129,1.6786,0.7095,,
mcdonalds.co.za,2,4,1092221,1.5982,0.6905,,
ubereats.com,3,-1,665838,1.7718,0.7239,,Uber Eats
spursteakranches.com,4,-1,640813,3.533,0.2815,,
debonairspizza.co.za,5,0,608678,1.9239,0.5436,,
mrdfood.com,6,-2,509187,1.8624,0.6473,,
romanspizza.co.za,7,0,478064,1.7209,0.6545,,
panarottis.com,8,13,324921,3.8046,0.4333,,
dineplan.com,9,-1,268648,3.3232,0.5146,,
nandos.co.za,10,-1,257640,1.3952,0.7532,,
pedroschicken.co.za,11,5,215426,1.6752,0.7049,,
steers.co.za,12,0,215078,1.5877,0.5297,,
eatout.co.za,13,1,195447,1.1758,0.9251,,
burgerking.co.za,14,-4,194492,1.1545,0.8499,,
rocomamas.com,15,7,165242,1.5773,0.7533,,
wimpy.co.za,16,-5,140956,2.1792,0.4909,,
copymethat.com,17,1,94908,2.8712,0.0833,,
freshstop.co.za,18,5,90071,1.3182,0.7051,,
sugarspunrun.com,19,10,82457,1.5726,0.7965,,
pizzaperfect.co.za,20,-1,74282,1.3783,0.6697,,
