id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
adbrix.io,1,1,5209600,2.6779,0.6418,,
buzzvil.com,2,-1,5055112,2.8009,0.5566,,
linktr.ee,3,1,1232482,1.2631,0.8805,https://static.semrush.com/power-pages/media/favicons/linktr-ee-favicon-29afac0e.png,Linktree
navercorp.com,4,-1,955408,16.1385,0.216,,
airbridge.io,5,1,560979,2.1613,0.6353,,
blogger.com,6,-1,430420,1.3731,0.8184,,
storysaver.net,7,1,386501,1.2619,0.8368,,
imginn.com,8,-1,365248,7.4798,0.3492,,
i-boss.co.kr,9,0,233019,2.8426,0.5928,,
teads.com,10,5,186606,2.5629,0.4527,,
bitly.com,11,-1,172606,1.6542,0.7487,,
singular.net,12,0,147097,1.4713,0.7393,,
business2community.com,13,-2,143199,1.1038,0.9295,,
playboard.co,14,4,126251,1.7372,0.7391,,
bitly.ws,15,1,123847,1.1741,0.8974,,
wisetracker.co.kr,16,14,115286,1.3017,0.801,,
moyens.net,17,-4,114583,1.088,0.9281,,
semrush.com,18,-6,110857,2.6978,0.478,https://static.semrush.com/power-pages/media/favicons/semrush-favicon-3cd418d5bb49.ico,Semrush
noxinfluencer.com,19,0,90974,2.3269,0.5266,,
clipchamp.com,20,-6,89479,1.3985,0.6471,,
