id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
netflix.com,1,0,21646016,2.0886,0.601,https://static.semrush.com/power-pages/media/favicons/netflix-com-favicon-41b45fdc.ico,Netflix
bing.com,2,0,10773178,3.5018,0.3866,,Bing
msn.com,3,0,6002555,3.3901,0.5141,https://static.semrush.com/power-pages/media/favicons/msn-com-favicon-84cc977d.ico,MSN
riotgames.com,4,0,4012269,2.2542,0.4918,,Riot Games
disneyplus.com,5,0,3053645,2.298,0.5111,https://static.semrush.com/power-pages/media/favicons/disneyplus-com-favicon-470cfd62.png,Disney Plus
hygall.com,6,0,2953055,33.4574,0.1746,,
deviantart.com,7,2,1378976,6.0928,0.3661,https://static.semrush.com/power-pages/media/favicons/deviantart-com-favicon-a4e32b90.png,DeviantArt
spotify.com,8,-1,1119349,2.4317,0.5428,https://static.semrush.com/power-pages/media/favicons/spotify-com-favicon-ff2831d2.png,Spotify
vimeo.com,9,-1,890474,3.1582,0.5242,https://static.semrush.com/power-pages/media/favicons/vimeo-com-favicon-c9d54cfe.png,Vimeo
toomics.com,10,2,619569,4.2429,0.3768,,
dailymotion.com,11,0,594198,1.525,0.7611,,Dailymotion
joycity.com,12,-2,405505,11.1602,0.1751,,
rezka.ag,13,3,358892,2.3136,0.5701,,
allkpop.com,14,4,326638,2.4118,0.3802,,
justwatch.com,15,-2,302974,1.1611,0.8926,https://static.semrush.com/power-pages/media/favicons/www-justwatch-com-favicon-f8c7c1f9.ico,JustWatch
genius.com,16,-2,302448,1.9957,0.7296,https://static.semrush.com/power-pages/media/favicons/genius-com-favicon-b59f5c6e.ico,Genius
themoviedb.org,17,2,274139,4.2959,0.5408,,
hsreplay.net,18,-3,264695,3.3746,0.4307,,
primevideo.com,19,-2,258231,2.0196,0.5581,https://static.semrush.com/power-pages/media/favicons/primevideo-com-favicon-7e8458b9.png,Prime Video
liquipedia.net,20,10,222285,3.6809,0.4018,,
