id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
nih.gov,1,0,1909352,2.6556,0.6504,https://static.semrush.com/power-pages/media/favicons/nih-gov-favicon-6c30e540.ico,National Institutes of Health
doctornow.co.kr,2,1,551322,1.1257,0.9114,,
amc.seoul.kr,3,-1,504660,3.0801,0.8295,,
health.kr,4,0,341314,2.6625,0.6259,,
snuh.org,5,0,224301,4.2522,0.5293,,
medigatenews.com,6,20,212842,1.8904,0.7388,,
docdocdoc.co.kr,7,3,209325,1.5515,0.8121,,
harvard.edu,8,5,185550,2.3764,0.4485,https://static.semrush.com/power-pages/media/favicons/harvard-edu-favicon-8e03c54f.jpg,Harvard University
sch.ac.kr,9,5,178026,6.1069,0.3763,,
chosun.ac.kr,10,-3,171677,4.3087,0.3131,,
chamc.co.kr,11,-3,150160,8.5411,0.2786,,
gangnam.go.kr,12,-6,144326,3.8703,0.4811,,
doctorsnews.co.kr,13,12,142703,1.9146,0.7695,,
msdmanuals.com,14,-5,128569,1.4575,0.7408,https://static.semrush.com/power-pages/media/favicons/msdmanuals-com-favicon-8a33a4cf.ico,MSD manuals
hear.com,15,0,121234,1.4572,0.7617,,
bosa.co.kr,16,2,114464,1.1991,0.8791,,
samsunghospital.com,17,-2,114449,3.071,0.6826,,
fda.gov,18,1,111680,5.1442,0.3654,https://static.semrush.com/power-pages/media/favicons/www-fda-gov-favicon-8376efa8.ico,U.S. Food and Drug Administration
ajoumc.or.kr,19,-7,111031,7.9768,0.3742,,
kiha21.or.kr,20,1,104627,22.3771,0.2407,,
