id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
coupang.com,1,0,110192424,4.3172,0.5093,,Coupang
daum.net,2,0,72921351,5.1792,0.393,,Daum
kakao.com,3,0,54714352,1.9751,0.6704,,
inven.co.kr,4,0,45522958,7.9081,0.396,https://static.semrush.com/power-pages/media/favicons/inven-co-kr-favicon-14d36ad1.ico,INVEN
ruliweb.com,5,0,39498516,12.428,0.44,https://static.semrush.com/power-pages/media/favicons/ruliweb-com-favicon-e086b444.png,Ruliweb
ilbe.com,6,0,28164992,23.81,0.1199,,
ppomppu.co.kr,7,0,20848116,15.3612,0.2628,https://static.semrush.com/power-pages/media/favicons/ppomppu-co-kr-favicon-844c0814.png,ppomppu
dogdrip.net,8,0,17976964,20.2708,0.2513,https://static.semrush.com/power-pages/media/favicons/dogdrip-net-favicon-c35380ee.ico,
danawa.com,9,0,14534130,4.3865,0.4078,,Danawa
theqoo.net,10,1,14345866,24.1318,0.3221,https://static.semrush.com/power-pages/media/favicons/theqoo-net-favicon-03f47532.png,
clien.net,11,-1,13837968,9.7259,0.4496,,
tving.com,12,1,11046516,2.8327,0.4304,,
auction.co.kr,13,-1,10687735,3.823,0.5517,,
ssg.com,14,1,10547553,4.0251,0.4825,,SSG
humoruniv.com,15,1,10448855,14.3115,0.2368,https://static.semrush.com/power-pages/media/favicons/humoruniv-com-favicon-8adbdc74.jpg,
chosun.com,16,-2,9935623,3.2046,0.6535,,Chosun Biz
quasarzone.com,17,0,8128844,4.4715,0.4947,,
musinsa.com,18,6,7631713,5.7243,0.5688,,MUSINSA
tmon.co.kr,19,4,7613879,3.5584,0.3365,,
lotteon.com,20,2,7291068,2.7628,0.6069,,
