id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
samsungfire.com,1,0,2550867,2.6431,0.5351,,
hi.co.kr,2,0,1506494,4.2942,0.4815,,
directdb.co.kr,3,0,1101396,2.7344,0.7156,,
kbinsure.co.kr,4,1,1059127,2.0438,0.7551,,
carrotins.com,5,1,789871,1.1258,0.9233,,
lina.co.kr,6,-2,522452,1.4337,0.7983,,
hanwhalife.com,7,0,334946,1.8695,0.6328,,
shinhanlife.co.kr,8,0,279194,3.2002,0.5534,,
axa.co.kr,9,1,262180,2.3034,0.4031,,
goodrichmall.com,10,2,189296,2.2345,0.5213,,
aia.co.kr,11,0,153877,2.6696,0.5774,,
sgic.co.kr,12,-3,140440,10.3114,0.226,,
lotteins.co.kr,13,7,116484,3.4588,0.5474,,
e-insmarket.or.kr,14,-1,106292,3.7938,0.3577,,
kyobo.com,15,1,100559,7.2931,0.3914,,
metlife.co.kr,16,0,98885,1.9857,0.542,,
heungkukfire.co.kr,17,-3,94105,5.144,0.3651,,
kblife.co.kr,18,0,90956,5.0858,0.4872,,
insure.or.kr,19,-4,83170,3.1098,0.1733,,
knia.or.kr,20,-3,79298,3.0381,0.4871,,
