id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
indeed.com,1,0,435614,3.5894,0.5054,https://static.semrush.com/power-pages/media/favicons/indeed-com-favicon-121a0618.ico,
16personalities.com,2,0,260896,2.2424,0.4685,,
wbhouse.co.kr,3,0,64330,25.1286,0.0714,,
4umall.co.kr,4,6,57792,2.1021,0.4084,,
smk.kr,5,10,42775,1.5517,0.4828,,
instv.net,6,6,36746,6.3058,0.3995,,
bamboohr.com,7,-2,29648,2.9444,0.4938,,
workhuman.com,8,8,29278,5.5732,0.0335,,
teachiworld.com,9,0,23075,5.5881,0.426,,
smartrecruiters.com,10,-2,19159,1.6622,0.6604,,
tune.kr,11,0,17461,2.1579,0.4737,,
adp.com,12,-6,16026,1.5248,0.6769,https://static.semrush.com/power-pages/media/favicons/adp-com-favicon-81349678.ico,ADP
indeedassessments.com,13,-6,14319,2.2194,0.0373,,
workable.com,14,-3,13359,1.4998,0.6469,,
hellowork.com,15,0,12719,2.5798,0.2319,,
randstad.com.au,16,0,11800,1.25,0.75,,
talent.com,17,-3,11052,3.0426,0.4213,,
eightfold.ai,18,0,9567,2.8837,0.2946,,
fpvhxm.com,19,-2,9556,3.026,0.6089,,
touchclass.com,20,6,8570,1.8935,0.6712,,
