id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
youtube.com,1,0,1340105558,7.5079,0.3355,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png,YouTube
twitter.com,2,0,53849891,3.4129,0.5388,https://static.semrush.com/power-pages/media/favicons/twitter-com-favicon-8ea219d0.png,Twitter
instagram.com,3,0,37984027,2.4378,0.6068,https://static.semrush.com/power-pages/media/favicons/instagram-com-favicon-b407fa10.png,Instagram
donga.com,4,0,15894666,12.979,0.3516,https://static.semrush.com/power-pages/media/favicons/donga-com-favicon-a68438ad.ico,Dong-A
wikipedia.org,5,0,12233888,1.679,0.7525,https://static.semrush.com/power-pages/media/favicons/wikipedia-org-favicon-904ce6bd.ico,Wikipedia
yna.co.kr,6,0,3906949,1.8913,0.6907,,
joins.com,7,0,1391944,1.4303,0.8073,https://static.semrush.com/power-pages/media/favicons/joins-com-favicon-3a81410f.png,
imdb.com,8,0,1098017,3.6116,0.4758,https://static.semrush.com/power-pages/media/favicons/imdb-com-favicon-0f70e9b9.png,IMDB
applyhome.co.kr,9,2,866254,5.3192,0.3746,,
kmib.co.kr,10,-1,863485,1.4761,0.7894,,
cnn.com,11,-1,732376,2.3899,0.5829,https://static.semrush.com/power-pages/media/favicons/cnn-com-favicon-43177be7.ico,CNN
bbc.com,12,0,629470,2.102,0.5978,https://static.semrush.com/power-pages/media/favicons/bbc-com-favicon-65d5fda0.jpg,BBC
dt.co.kr,13,1,419329,2.0281,0.7441,,
nytimes.com,14,-1,391164,1.8261,0.6403,https://static.semrush.com/power-pages/media/favicons/nytimes-com-favicon-319373aa.png,The New York Times
bada.io,15,7,283149,2.4447,0.7449,,
nba.com,16,-1,244868,3.7296,0.2675,https://static.semrush.com/power-pages/media/favicons/nba-com-favicon-3c2b1489.jpg,NBA
koreatimes.co.kr,17,0,227730,5.4226,0.3829,,
bbc.co.uk,18,-2,211063,2.1582,0.7567,https://static.semrush.com/power-pages/media/favicons/bbc-co-uk-favicon-4f3b9e56.ico,BBC Three
tf.co.kr,19,2,172674,1.6099,0.8225,,
theguardian.com,20,-1,171923,2.0177,0.7405,https://static.semrush.com/power-pages/media/favicons/theguardian-com-favicon-fee5e2d6.png,The Guardian US
