id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
samsung.com,1,0,9627107,2.3967,0.6655,https://static.semrush.com/power-pages/media/favicons/samsung-com-favicon-fe8c4b2a.png,Samsung
tworld.co.kr,2,0,2382787,5.1658,0.3271,,
lguplus.com,3,0,1927297,2.067,0.6212,,
sktelecom.com,4,0,1111587,4.1479,0.4843,,
fast.com,5,0,663955,1.1545,0.8982,https://static.semrush.com/power-pages/media/favicons/fast-com-favicon-bbdb943e.png,
skbroadband.com,6,0,589858,3.2628,0.5224,,
lg.com,7,0,300333,5.1775,0.3999,https://static.semrush.com/power-pages/media/favicons/lg-com-favicon-07d6731d.png,LG
freet.co.kr,8,1,245827,6.6342,0.2464,,
samsungapps.com,9,3,237246,1.8784,0.6728,,
samsungmobile.com,10,0,223792,1.1688,0.8831,,
speedtest.net,11,-3,202520,1.2981,0.8099,https://static.semrush.com/power-pages/media/favicons/speedtest-net-favicon-b9ced8c4.png,Speedtest
thunderpost.org,12,-1,182995,1.1814,0.8638,,
tp-link.com,13,0,124661,2.6431,0.6057,,TP-Link
gsmarena.com,14,4,107669,2.0114,0.6426,https://static.semrush.com/power-pages/media/favicons/gsmarena-com-favicon-3c06be64.ico,GSMArena
amobile.co.kr,15,1,66463,4.6184,0.319,,
garticphone.com,16,4,64399,2.0287,0.6432,,Gartic Phone
tta.or.kr,17,-2,52394,5.1572,0.4306,,
snowman.co.kr,18,-1,49654,7.4787,0.1701,,
huawei.com,19,3,47150,4.1854,0.5764,https://static.semrush.com/power-pages/media/favicons/huawei-com-favicon-1082d335.png,Huawei
hardreset.info,20,1,41829,1.3374,0.8252,,
