id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
cjlogistics.com,1,0,5183210,1.5276,0.7041,,CJ Logistics
epost.go.kr,2,0,1766833,5.6275,0.3717,,ePOST
hanjin.com,3,0,558046,2.1466,0.5733,,
lotteglogis.com,4,0,354987,2.277,0.3902,,
t-money.co.kr,5,4,216025,4.5796,0.316,,
korail.com,6,-1,210829,2.4858,0.3173,,
hanjin.co.kr,7,6,182829,1.1866,0.844,,HANJIN
fedex.com,8,4,178051,2.5485,0.5584,,FedEx
ups.com,9,-1,158405,2.1999,0.5281,,United Parcel Service
seoulmetro.co.kr,10,4,157293,2.0004,0.5607,,
dhl.com,11,-5,151177,2.1948,0.4571,,DHL
cainiao.com,12,-2,125087,1.2473,0.8301,,Cainiao
sinokor.co.kr,13,-2,114912,4.4302,0.1509,,
packagetrackr.com,14,9,107972,2.0147,0.4279,,
jimpass.com,15,-8,87404,4.2281,0.3983,,
cma-cgm.com,16,-1,87373,3.969,0.3071,,
tradlinx.com,17,4,81313,1.4467,0.7522,,
17track.net,18,-2,81125,2.5448,0.3146,https://static.semrush.com/power-pages/media/favicons/17track-net-favicon-1b4f9a6e.png,17TRACK
qxpress.net,19,-1,80553,4.751,0.2175,,
ecmsglobal.com,20,7,80129,2.5948,0.5225,,
