id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
agoda.com,1,0,2676382,5.2126,0.313,https://static.semrush.com/power-pages/media/favicons/agoda-com-favicon-d79c3f25.ico,Agoda
hanatour.com,2,1,2221374,1.7459,0.7402,,
hotels.com,3,-1,1822000,1.8339,0.8487,,
trip.com,4,0,1462267,2.5589,0.4955,https://static.semrush.com/power-pages/media/favicons/trip-com-favicon-8230f336.ico,
booking.com,5,1,1114697,3.9213,0.4584,https://static.semrush.com/power-pages/media/favicons/booking-com-favicon-faedfe66.ico,Booking.com
modetour.com,6,2,995753,2.0879,0.3793,,
letskorail.com,7,-2,993483,27.2393,0.269,,
flyasiana.com,8,-1,885284,6.859,0.2172,,
myrealtrip.com,9,1,745368,4.0366,0.4425,,
klook.com,10,-1,736883,2.9585,0.477,,
visitkorea.or.kr,11,0,504255,2.3234,0.6376,,
kkday.com,12,0,406632,1.9331,0.7077,,
skyscanner.net,13,0,336342,2.2053,0.5729,,
expedia.co.kr,14,0,298960,2.6718,0.5443,,
tripadvisor.com,15,0,291238,1.4483,0.8028,https://static.semrush.com/power-pages/media/favicons/tripadvisor-com-favicon-34583147.png,Tripadvisor
verygoodtour.com,16,0,233373,5.2476,0.4563,,
lotteworld.com,17,5,229492,4.2329,0.4814,,
everland.com,18,3,225130,4.4952,0.447,,
airasia.com,19,4,221713,3.4672,0.3886,,AirAsia
livejapan.com,20,-2,200859,1.1758,0.8798,,
