id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
encar.com,1,0,2104040,10.3754,0.178,,
kbchachacha.com,2,2,2057779,2.3902,0.6921,,
hi.co.kr,3,0,1506494,4.2942,0.4815,,
hyundai.com,4,-2,1309935,4.16,0.4275,,Hyundai
autotribune.co.kr,5,0,973434,1.5138,0.7391,,
kia.com,6,0,821919,4.948,0.3873,,Kia Motors
kcar.com,7,0,706587,3.3995,0.4289,,
ehyundai.com,8,0,375574,3.6064,0.4264,,
hyundaicapital.com,9,1,344891,3.1548,0.4814,,
genesis.com,10,3,231853,4.4476,0.4435,,
thehyundai.com,11,5,220573,1.9388,0.6234,,
bmw.co.kr,12,0,199784,2.1068,0.6316,,
buyee.jp,13,-4,197443,7.7299,0.5023,,Buyee
lotterentacar.net,14,3,194631,3.9454,0.2685,,
i-screammedia.com,15,-4,188128,1.2531,0.8166,,
lexus.co.kr,16,-1,178996,1.7674,0.7427,,
gongim.com,17,3,163171,8.3898,0.1478,,
tesla.com,18,0,158978,4.6122,0.3688,,Tesla
toyota.co.kr,19,0,150262,2.0088,0.5875,,
car.go.kr,20,0,138219,2.6493,0.5911,,
