id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
booking.com,1,0,38834751,4.0821,0.4322,https://static.semrush.com/power-pages/media/favicons/booking-com-favicon-faedfe66.ico,Booking.com
tripadvisor.es,2,0,14496075,1.7196,0.7031,,Tripadvisor Spain
atrapalo.com,3,0,3211582,2.6521,0.498,,
covermanager.com,4,3,2064508,1.1152,0.9185,,
trivago.es,5,1,1392904,2.0377,0.6243,,
buscounchollo.com,6,-1,1354123,2.2187,0.5303,,
viajerospiratas.es,7,-3,1290669,1.9109,0.6228,,
agoda.com,8,3,1235527,2.1528,0.5442,https://static.semrush.com/power-pages/media/favicons/agoda-com-favicon-d79c3f25.ico,Agoda
barcelo.com,9,-1,1182872,2.5667,0.5927,,
ead.me,10,-1,1098956,1.4051,0.7012,,
expedia.es,11,1,1076299,2.3392,0.515,,
destinia.com,12,11,1010851,2.701,0.3905,,
mirai.com,13,0,931696,1.7358,0.6564,,
abnb.me,14,0,832587,1.9511,0.5453,,
redforts.com,15,0,818295,27.2613,0.0738,,
tuscasasrurales.com,16,-1,775760,2.4093,0.6863,,
gruposaona.com,17,9,771479,1.6704,0.6524,,
sibuyaurbansushibar.com,18,0,762957,1.4893,0.7494,,
accor.com,19,9,727554,2.2478,0.5091,,
hoteles.com,20,-10,672837,2.1428,0.6385,,
