id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
linktr.ee,1,0,10894316,1.231,0.8458,https://static.semrush.com/power-pages/media/favicons/linktr-ee-favicon-29afac0e.png,Linktree
smadex.com,2,1,3543816,1.9272,0.6237,,
blogger.com,3,-1,3371923,1.8829,0.6726,,
hotmart.com,4,0,2288720,2.5832,0.5425,https://static.semrush.com/power-pages/media/favicons/hotmart-com-favicon-4c66673d.png,Hotmart
cutt.ly,5,0,2140420,1.3066,0.7971,,Cuttly
acortar.link,6,2,1644646,1.2193,0.857,,
g.page,7,0,1491206,1.164,0.8723,,
imginn.com,8,16,1269183,7.9659,0.191,,
storysaver.net,9,1,1224540,1.2215,0.8296,,
dpgmedia.be,10,0,1189181,1.4006,0.8088,,
aplazame.com,11,-5,1183735,1.9037,0.5173,,
metricool.com,12,-3,1052440,2.7005,0.4872,,
salesmanago.pl,13,-1,968342,1.2469,0.8182,,
hubspot.es,14,-1,750681,1.2228,0.8736,,
semrush.com,15,1,736617,1.8356,0.7007,https://static.semrush.com/power-pages/media/favicons/semrush-favicon-3cd418d5bb49.ico,Semrush
addtoany.com,16,-5,678172,1.1715,0.9108,,
easypromosapp.com,17,5,670196,2.4274,0.5192,,
socialblade.com,18,0,621475,3.1118,0.2881,,
dianasoluciones.com,19,0,575322,2.3548,0.0591,,
hostinger.es,20,-6,565621,1.5443,0.683,,
