id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
redsys.es,1,0,28604117,2.6283,0.3213,,
caixabank.es,2,0,18851181,2.998,0.3818,,CaixaBank
bancosantander.es,3,0,13773053,2.2259,0.5338,,Banco Santander
bbva.es,4,0,11570586,2.9675,0.3541,,BBVA
bancsabadell.com,5,0,7947697,4.3581,0.4911,,
bankinter.com,6,0,5857610,3.9246,0.4205,,
ing.es,7,2,5787395,1.4206,0.7686,,
cronista.com,8,0,4847261,1.3482,0.809,https://static.semrush.com/power-pages/media/favicons/www-cronista-com-favicon-210690d6.png,El Cronista
rankia.com,9,4,3828777,1.5111,0.7519,,
ingdirect.es,10,-3,3598765,3.976,0.1886,,
cofidis.es,11,1,3582624,4.2384,0.4057,,
kutxabank.es,12,-2,3575040,4.0553,0.5324,,
financieraelcorteingles.es,13,-2,3134959,4.6061,0.2034,,
ibercaja.es,14,0,3126245,3.4735,0.3372,,
bsan.mobi,15,4,2655192,1.4362,0.7367,,
openbank.es,16,2,2651566,3.539,0.3904,,
wise.com,17,-1,2642015,2.7294,0.6638,,
unicajabanco.es,18,-1,2634367,2.8244,0.3604,,
ruralvia.com,19,-4,2527701,2.6213,0.5279,,
evobanco.com,20,4,2348326,3.1822,0.62,,
