id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
yahoo.com,1,0,37318904,2.7903,0.4728,,Yahoo
redsys.es,2,0,28604117,2.6283,0.3213,,
caixabank.es,3,1,18851181,2.998,0.3818,,CaixaBank
paypal.com,4,-1,16765891,3.5073,0.2905,https://static.semrush.com/power-pages/media/favicons/paypal-com-favicon-ed31bc43.png,PayPal
investing.com,5,2,14777659,1.9722,0.5783,https://static.semrush.com/power-pages/media/favicons/investing-com-favicon-dcdc244b.png,
bancosantander.es,6,-1,13773053,2.2259,0.5338,,Banco Santander
pcbolsa.com,7,1,12459081,2.9618,0.3893,,
bbva.es,8,-2,11570586,2.9675,0.3541,,BBVA
ecobolsa.com,9,1,9100021,3.3776,0.3529,,
bancsabadell.com,10,-1,7947697,4.3581,0.4911,,
bankinter.com,11,0,5857610,3.9246,0.4205,,
ing.es,12,6,5787395,1.4206,0.7686,,
bolsamania.com,13,4,4115419,3.6267,0.3955,,
rankia.com,14,9,3828777,1.5111,0.7519,,
tradingview.com,15,-1,3692605,1.6474,0.6884,https://static.semrush.com/power-pages/media/favicons/tradingview-com-favicon-5ce990e1.png,TradingView
ingdirect.es,16,-1,3598765,3.976,0.1886,,
cofidis.es,17,5,3582624,4.2384,0.4057,,
kutxabank.es,18,1,3575040,4.0553,0.5324,,
revolut.com,19,-7,3331083,1.6793,0.725,,
coinmarketcap.com,20,-7,3248408,1.899,0.6555,https://static.semrush.com/power-pages/media/favicons/coinmarketcap-com-favicon-e687767a.png,CoinMarketCap
