id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
mayoclinic.org,1,0,6761414,1.1335,0.8917,,Mayo Clinic
medlineplus.gov,2,1,5518112,1.183,0.8756,,MedinePlus
doctoralia.es,3,1,4857554,1.8148,0.5914,,Doctoralia España
nih.gov,4,-2,4654985,2.2361,0.6938,https://static.semrush.com/power-pages/media/favicons/nih-gov-favicon-6c30e540.ico,National Institutes of Health
mapfre.es,5,0,3733892,1.7047,0.6847,,
sanidadmadrid.org,6,3,2828180,3.4762,0.4723,,
healthline.com,7,1,2439206,1.3636,0.7915,,Healthline Media
segurcaixaadeslas.es,8,3,2302419,3.491,0.4115,,
saludcastillayleon.es,9,-3,2292726,2.3872,0.5489,,
elsevier.es,10,-3,2037866,1.2019,0.8884,https://static.semrush.com/power-pages/media/favicons/elsevier-es-favicon-bd1d330b.svg,Elsevier Spain
msdmanuals.com,11,3,1966952,1.3591,0.8028,https://static.semrush.com/power-pages/media/favicons/msdmanuals-com-favicon-8a33a4cf.ico,MSD manuals
comunidad.madrid,12,0,1953500,2.0672,0.5712,,
medicalnewstoday.com,13,-3,1754892,1.2688,0.8191,https://static.semrush.com/power-pages/media/favicons/medicalnewstoday-com-favicon-28e75580.png,Medical News Today
topdoctors.es,14,-2,1672955,2.1298,0.6136,,Top Doctors
sanitas.es,15,-2,1638086,1.5838,0.7091,,Sanitas
cun.es,16,0,1523158,1.2115,0.8428,,
sanidad.gob.es,17,1,1504728,1.7568,0.7173,,
cdc.gov,18,-3,1308982,1.2115,0.8571,https://static.semrush.com/power-pages/media/favicons/cdc-gov-favicon-8f23f529.ico,
quironprevencion.com,19,0,1283800,3.0492,0.6052,,
infosalus.com,20,9,906601,1.2165,0.859,,
