id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
infojobs.net,1,0,26713106,4.221,0.4492,,InfoJobs
indeed.com,2,0,8877234,3.0258,0.541,https://static.semrush.com/power-pages/media/favicons/indeed-com-favicon-121a0618.ico,
jooble.org,3,0,3344886,2.2444,0.4694,https://static.semrush.com/power-pages/media/favicons/jooble-org-favicon-7abfd684.png,Jooble
talent.com,4,0,2956840,2.6213,0.3065,,
randstad.es,5,0,2271991,3.6013,0.5083,,
factorialhr.com,6,0,1394144,2.1097,0.608,,
iberempleos.es,7,6,1244930,2.3377,0.6305,,
infoempleo.com,8,10,1120792,2.8313,0.5541,,
jobrapido.com,9,5,1110638,2.2815,0.5117,,
talentclue.com,10,-2,1053663,1.7289,0.5553,,
adecco.es,11,-2,953667,2.4616,0.6324,,
savia.net,12,0,952524,1.2477,0.8015,,
sesametime.com,13,-1,908433,2.0753,0.3601,,
4dec.co,14,-3,905903,2.2671,0.3954,,
portalento.es,15,9,889734,4.4085,0.3322,,
16personalities.com,16,-1,846292,2.9513,0.5139,,
factorialhr.es,17,0,820947,1.3978,0.7358,,
turijobs.com,18,-2,760312,2.9538,0.4977,,
oficinaempleo.com,19,-12,652436,2.023,0.6944,,
appcast.io,20,2,514059,1.0252,0.9748,,
