id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
idealista.com,1,0,74277610,3.8691,0.4895,,idealista
fotocasa.es,2,0,18257048,2.0601,0.5968,,fotocasa
habitaclia.com,3,0,11068328,3.2693,0.5246,,Habitaclia
yaencontre.com,4,1,4910503,2.0497,0.687,,
pisos.com,5,-1,3814358,2.6281,0.5332,,
callejero.net,6,5,1719867,1.4231,0.8655,,
indomio.es,7,3,1271296,3.9708,0.6465,,
tucasa.com,8,-2,1245977,2.901,0.5737,,
servihabitat.com,9,-1,1175649,2.8902,0.5479,,
trovit.es,10,-3,1032696,1.4672,0.7889,,
thinkspain.com,11,14,826939,2.0359,0.5657,,
tecnocasa.es,12,14,791862,3.1808,0.5006,,
haya.es,13,4,787259,3.3805,0.5252,,
housfy.com,14,14,710233,2.6855,0.6942,,
mitula.com,15,-3,698806,2.4087,0.5015,,
vrbo.com,16,-3,692859,2.4555,0.5952,https://static.semrush.com/power-pages/media/favicons/vrbo-com-favicon-7947742b.png,VRBO
enalquiler.com,17,3,690990,1.6683,0.6773,,
alisedainmobiliaria.com,18,-4,619981,1.2354,0.8436,,
skyscrapercity.com,19,-1,573029,6.8015,0.3032,,Skyscraper City
immobilienscout24.de,20,0,565648,5.0135,0.4879,https://static.semrush.com/power-pages/media/favicons/immobilienscout24-de-favicon-ff8875aa.ico,ImmobilienScout 24
