id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
sciencedirect.com,1,0,1933748,1.5778,0.7199,,ScienceDirect
csic.es,2,1,1459113,3.1483,0.4314,,
mdpi.com,3,4,1215269,1.5542,0.7694,,
wetterzentrale.de,4,0,1186226,5.7963,0.1186,,
elsevier.com,5,-3,1013003,3.1693,0.4126,https://static.semrush.com/power-pages/media/favicons/elsevier-com-favicon-c0e62f50.png,Elsevier
ciemat.es,6,0,900998,2.879,0.1951,,
wiley.com,7,-2,703612,1.6448,0.7143,,John Wiley & Sons
orcid.org,8,1,348925,1.2295,0.8657,,
bioucm.es,9,14,338547,1.2499,0.7675,,
overleaf.com,10,-2,328481,3.0789,0.2771,,Overleaf
arxiv.org,11,1,325787,1.5593,0.7528,,
biorxiv.org,12,7,309107,2.135,0.6099,,
doi.org,13,2,307468,1.1656,0.8733,,
ciencia.gob.es,14,6,260324,5.5438,0.5819,,
unipi.it,15,-5,245772,2.5256,0.4468,,
globalresearch.ca,16,0,229144,2.6942,0.3569,,
scopus.com,17,-4,190427,2.9469,0.4878,,
phys.org,18,9,188413,1.3009,0.7825,,
space.com,19,-3,187761,1.4166,0.7325,,
cineca.it,20,0,187531,2.2054,0.7639,,
