id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
wallapop.com,1,0,33258601,4.4168,0.4241,,Wallapop
coches.net,2,0,20288456,2.3607,0.6168,,Coches.net
soymotor.com,3,1,11670394,2.7296,0.4397,,
mforos.com,4,-1,11194720,7.1088,0.2115,,
motor.es,5,0,5653976,1.6827,0.633,,
motorsport.com,6,0,5301904,1.814,0.539,https://static.semrush.com/power-pages/media/favicons/www-motorsport-com-favicon-14ace5dd.png,Motorsport.com
km77.com,7,5,4207998,2.7012,0.5503,,
motorpasion.com,8,3,3715332,1.5546,0.6208,,
bmwfaq.org,9,-1,3325714,3.6044,0.2249,,
autodoc.es,10,-1,3152576,2.8606,0.5354,,
autobild.es,11,-4,2905810,1.2972,0.8065,,
caranddriver.com,12,13,2730437,2.1535,0.6104,,Car and Driver
carwow.es,13,4,2710295,4.1772,0.5264,,
dieselogasolina.com,14,-1,2676044,1.4821,0.7091,,
autoscout24.es,15,-5,2649824,2.3925,0.5651,,
motor1.com,16,13,2382883,1.588,0.7249,,Motor1
rastreator.com,17,10,2343547,3.0813,0.3418,,
oscaro.es,18,-2,2323790,3.2932,0.5257,,
mobile.de,19,-5,2242046,9.3413,0.4153,,mobile.de
nissan.es,20,8,2116584,1.8002,0.7332,,
