id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
openai.com,1,0,54024566,1.8412,0.6288,,
mayoclinic.org,2,0,6761414,1.1335,0.8917,,Mayo Clinic
telva.com,3,2,6490965,1.205,0.8842,,
medlineplus.gov,4,0,5518112,1.183,0.8756,,MedinePlus
doctoralia.es,5,1,4857554,1.8148,0.5914,,Doctoralia España
nih.gov,6,-3,4654985,2.2361,0.6938,https://static.semrush.com/power-pages/media/favicons/nih-gov-favicon-6c30e540.ico,National Institutes of Health
weloversize.com,7,2,3867140,3.7571,0.3806,,
clara.es,8,3,3745725,4.2763,0.6601,,
mapfre.es,9,-2,3733892,1.7047,0.6847,,
hsnstore.com,10,-2,2793332,3.3281,0.5313,,
menshealth.com,11,2,2542490,1.523,0.7709,https://static.semrush.com/power-pages/media/favicons/menshealth-com-favicon-9165b408.ico,Men's Health
healthline.com,12,4,2439206,1.3636,0.7915,,Healthline Media
myprotein.es,13,-3,2341988,3.1754,0.5743,,
segurcaixaadeslas.es,14,4,2302419,3.491,0.4115,,
saludcastillayleon.es,15,-1,2292726,2.3872,0.5489,,
groupon.es,16,-4,2053102,2.7436,0.598,,
elsevier.es,17,-2,2037866,1.2019,0.8884,https://static.semrush.com/power-pages/media/favicons/elsevier-es-favicon-bd1d330b.svg,Elsevier Spain
msdmanuals.com,18,5,1966952,1.3591,0.8028,https://static.semrush.com/power-pages/media/favicons/msdmanuals-com-favicon-8a33a4cf.ico,MSD manuals
medicalnewstoday.com,19,-2,1754892,1.2688,0.8191,https://static.semrush.com/power-pages/media/favicons/medicalnewstoday-com-favicon-28e75580.png,Medical News Today
topdoctors.es,20,0,1672955,2.1298,0.6136,,Top Doctors
