id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
booking.com,1,0,2083709,4.4601,0.4113,https://static.semrush.com/power-pages/media/favicons/booking-com-favicon-faedfe66.ico,Booking.com
momondo.se,2,0,885769,3.413,0.3308,,
hotels.com,3,1,788903,4.8751,0.3501,,
tripadvisor.se,4,-1,614355,2.0887,0.6353,,
mrvegas.com,5,11,247918,9.2421,0.2905,,
thatsup.se,6,-1,239024,1.4742,0.7193,,
vikingline.se,7,3,202075,3.6426,0.3195,,
scandichotels.se,8,1,198169,2.8758,0.5692,,
expedia.se,9,5,193975,2.668,0.3333,,
scandichotels.com,10,9,186389,1.7642,0.7077,,
letsdeal.se,11,-5,186033,5.3799,0.5667,,
agoda.com,12,0,173103,3.0,0.3257,https://static.semrush.com/power-pages/media/favicons/agoda-com-favicon-d79c3f25.ico,Agoda
waiteraid.com,13,-6,152063,2.1075,0.6249,,
bokabord.se,14,7,108445,1.352,0.74,,
elite.se,15,0,101862,2.8148,0.4682,,
matochmat.se,16,-8,101404,1.3375,0.7609,,
bookvisit.com,17,0,95795,1.7662,0.6149,,
trivago.se,18,-7,94005,2.2642,0.5175,,
kayak.se,19,-1,88690,2.6856,0.4093,,
rasta.se,20,0,57992,2.6866,0.547,,
