id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
mecenat.com,1,1,1266957,2.3992,0.491,,
voyado.com,2,-1,1142808,1.3108,0.7368,,
linktr.ee,3,0,1010471,1.2537,0.8766,https://static.semrush.com/power-pages/media/favicons/linktr-ee-favicon-29afac0e.png,Linktree
loopia.se,4,0,507519,4.9404,0.3053,,
mecenatalumni.com,5,5,460207,2.5787,0.5479,,
websupport.se,6,0,274014,5.4342,0.3449,,
blogg.se,7,-2,189415,1.3443,0.8898,,
adrecord.com,8,0,171902,2.6945,0.391,,
retriever-info.com,9,0,161112,1.6589,0.5607,,
ipaper.io,10,1,157066,1.3258,0.7959,,
quartsoft.com,11,0,132568,1.0411,0.9589,,
blogger.com,12,1,128968,1.3469,0.8296,,
dagensmedia.se,13,1,125359,1.268,0.9493,,
mailchimp.com,14,-2,121553,4.3377,0.3447,https://static.semrush.com/power-pages/media/favicons/mailchimp-com-favicon-8969a0a6.ico,Mailchimp
readpeak.com,15,0,95349,1.0,1.0,,
brandmaster.com,16,0,81695,2.0789,0.6108,,
clipchamp.com,17,4,79200,1.5643,0.7014,,
sokrabatt.se,18,0,71632,1.5569,0.5823,,
business2community.com,19,10,67523,1.0,1.0,,
simplero.com,20,5,66835,5.0709,0.4272,,
