id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
amazon.se,1,2,8528317,5.5137,0.4327,,
tradera.com,2,6,7285991,3.8261,0.4497,,Tradera
ica.se,3,-2,7133564,1.7794,0.7005,,ICA
prisjakt.nu,4,0,5578195,1.7097,0.6847,,Prisjakt Sverige
ikea.com,5,-3,5123648,5.6373,0.3618,,IKEA
elgiganten.se,6,0,4080769,1.5998,0.7272,,Elgiganten
aliexpress.com,7,9,3781965,4.6475,0.3968,,AliExpress
apotea.se,8,-1,3235325,4.2766,0.4081,,Apotea
netonnet.se,9,1,3164340,2.8511,0.5142,,NetOnNet
zalando.se,10,12,2916775,6.417,0.3868,,Zalando Sweden
biltema.se,11,-2,2869820,3.8255,0.4368,,Biltema
clasohlson.com,12,-7,2698602,3.2119,0.4927,,
pricerunner.se,13,5,2584199,1.7217,0.6333,,PriceRunner
jula.se,14,0,2576046,1.6523,0.7242,,Jula
coop.se,15,-3,2278559,2.7281,0.5369,,Coop
systembolaget.se,16,0,2078672,2.1569,0.6337,,Systembolaget
inet.se,17,12,2062835,5.4564,0.3843,,
willys.se,18,-5,1918774,1.5104,0.7844,,Willys
samsung.com,19,1,1900219,2.2441,0.6509,https://static.semrush.com/power-pages/media/favicons/samsung-com-favicon-fe8c4b2a.png,Samsung
ebay.com,20,0,1836118,3.8699,0.4763,https://static.semrush.com/power-pages/media/favicons/ebay-com-favicon-67c7209c.png,eBay
