id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
live.com,1,1,13264703,2.7099,0.4324,,
office.com,2,-1,7323879,1.8855,0.6093,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico,SmartSystem
grandid.com,3,1,3790441,2.0521,0.4065,,
outlook.com,4,9,3704357,1.3578,0.778,https://static.semrush.com/power-pages/media/favicons/outlook-com-favicon-ac16fa7f.ico,Outlook
stackoverflow.com,5,6,2105752,1.2731,0.842,https://static.semrush.com/power-pages/media/favicons/stackoverflow-com-favicon-d2a17223.ico,Stack Overflow
inet.se,6,-1,2062835,5.4564,0.3843,,
visma.com,7,2,1967481,2.2917,0.3968,,
one.com,8,7,1945161,3.7159,0.2211,,
wordpress.com,9,-2,1759774,1.8765,0.6961,https://static.semrush.com/power-pages/media/favicons/wordpress-com-favicon-f9797465.png,WordPress
signicat.com,10,-2,1336234,1.8303,0.4336,,
hotmail.com,11,0,1184393,1.1392,0.8944,,Hotmail
tele2.com,12,0,1159152,2.7811,0.3171,,
voyado.com,13,-10,1142808,1.3108,0.7368,,
gofile.io,14,2,939134,1.9435,0.6244,,
dropbox.com,15,10,914004,2.1318,0.5898,https://static.semrush.com/power-pages/media/favicons/dropbox-com-favicon-5346f07d.png,Dropbox
scrive.com,16,7,879999,2.0583,0.5152,,
billogram.com,17,-3,826336,1.5169,0.7264,,
komplett.se,18,0,818120,3.708,0.4567,,
atlassian.net,19,3,807638,3.6692,0.459,,
teliacompany.com,20,7,728559,1.5557,0.5665,,
