id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
cint.com,1,4,256412,2.6323,0.2588,https://static.semrush.com/power-pages/media/favicons/cint-com-favicon-4d4d06c0.png,Cint
origogroup.com,2,1,242816,6.8059,0.3551,,
norstatpanel.com,3,-2,210980,1.9873,0.7477,,
ssisurveys.com,4,5,197416,2.0548,0.4109,,
surveymonkey.com,5,-3,190375,2.2203,0.532,https://static.semrush.com/power-pages/media/favicons/surveymonkey-com-favicon-fff1c96e.png,Survey Monkey
qualtrics.com,6,-2,136463,2.6309,0.7975,https://static.semrush.com/power-pages/media/favicons/qualtrics-com-favicon-0a491c21.png,Qualtrics
confirmit.com,7,-1,109169,1.9904,0.5613,,
globenewswire.com,8,2,88929,1.3466,0.8472,,
mobrog.com,9,5,66353,4.9796,0.2345,,
splendid-research.com,10,10,62621,1.3783,0.7298,,
netigate.net,11,-3,58112,2.4688,0.4688,,
gfk.com,12,1,41910,1.6037,0.483,,
supernova.to,13,0,32598,2.6667,0.6667,,
lifepointspanel.com,14,-7,31927,4.5843,0.4074,,
ipsos.com,15,-4,27529,1.2515,0.8714,,
decipherinc.com,16,1,25946,13.4156,0.202,,
testingtime.com,17,7,25832,1.3158,0.7194,,
nebu.com,18,1,24242,15.4173,0.0,,
researchnow.com,19,4,18625,1.0488,0.9512,,
dynata.com,20,-4,17454,1.0,1.0,,Dynata
