id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
blocket.se,1,0,17128139,3.2828,0.5362,https://static.semrush.com/power-pages/media/favicons/blocket-se-favicon-03076b37.png,Blocket
hemnet.se,2,0,7897126,2.4954,0.6241,,
mrkoll.se,3,1,2512586,2.1865,0.5653,,
booli.se,4,4,1560114,2.8985,0.4784,,
fastighetsbyran.com,5,2,1367874,1.4432,0.8009,,
svenskfast.se,6,0,1156541,3.3214,0.6678,,
homeq.se,7,-2,1085803,2.9016,0.4847,,
malmo.se,8,3,1008302,5.7322,0.3065,,
lansfast.se,9,1,877199,2.1328,0.3877,,
birthday.se,10,7,767740,7.0467,0.4305,,
airbnb.se,11,5,680564,6.38,0.4501,,
sbab.se,12,6,638693,2.2871,0.464,,
hsb.se,13,-4,599986,4.6258,0.3459,,
husmanhagberg.se,14,1,539736,1.6554,0.6396,,
boplats.se,15,-2,460305,7.5143,0.242,,
boplatssyd.se,16,10,413731,2.1377,0.4833,,
riksbyggen.se,17,6,388190,4.4917,0.3744,,
heimstaden.com,18,-15,355774,4.7385,0.3695,,
bjurfors.se,19,6,329035,1.8121,0.7292,,
skandiamaklarna.se,20,0,322487,3.4902,0.5877,,
