id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
foodora.se,1,0,1466303,3.4362,0.4596,,
maxburgers.com,2,1,429883,1.1509,0.8858,,
mcdonalds.com,3,1,195184,2.082,0.6797,https://static.semrush.com/power-pages/media/favicons/mcdonalds-com-favicon-56ed9994.jpg,McDonald's
burgerking.se,4,11,171079,1.1139,0.887,,
max.se,5,-3,154388,3.133,0.5282,,
waiteraid.com,6,-1,152063,2.1075,0.6249,,
ubereats.com,7,4,138946,2.3928,0.6462,,Uber Eats
minlunchguide.se,8,9,109351,1.2559,0.837,,
bokabord.se,9,5,108445,1.352,0.74,,
smaca.se,10,17,76081,1.4404,0.631,,
kvartersmenyn.se,11,-5,66379,1.8053,0.6995,,
kfc.nu,12,10,59977,2.712,0.4078,,
levonline.com,13,-6,58112,3.6406,0.2031,,
pizzahut.se,14,2,57988,2.079,0.5083,,
gastrogate.com,15,0,53887,1.3276,0.8578,,
nordrest.se,16,0,49820,1.4004,0.709,,
burgerdudes.se,17,-5,49469,2.4741,0.6415,,
thefork.se,18,-10,45578,1.4184,0.8605,,
subway.com,19,-9,43047,3.8669,0.2106,,
takeaway.com,20,0,30326,1.0537,0.9463,https://static.semrush.com/power-pages/media/favicons/takeaway-com-favicon-035295b7.ico,Takeaway.com
