id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
postnord.com,1,4,2566589,1.913,0.5521,,PostNord
postnord.se,2,-1,2361827,1.7053,0.6827,,PostNord Sweden
dhl.com,3,1,2119265,3.642,0.4664,,DHL
instabox.io,4,2,1918197,1.3762,0.7987,,
dbschenker.com,5,2,1546018,1.5903,0.6876,,DB Schenker
sl.se,6,-4,1530963,1.8966,0.6361,,
sj.se,7,-4,1416668,2.4732,0.5896,,SJ
vasttrafik.se,8,5,987347,5.1777,0.5301,,
bring.se,9,0,922279,2.0574,0.4825,,
swedavia.se,10,8,609259,2.1371,0.5987,,
postnl.post,11,0,550278,1.3752,0.7204,,
ups.com,12,-2,544467,5.103,0.4123,,United Parcel Service
budbee.com,13,-2,533444,1.2119,0.8451,,
17track.net,14,0,421682,2.4176,0.3069,https://static.semrush.com/power-pages/media/favicons/17track-net-favicon-1b4f9a6e.png,17TRACK
bring.com,15,13,396839,1.4236,0.6942,,
ul.se,16,-8,378937,1.9987,0.7065,,
skanetrafiken.se,17,0,358765,2.0733,0.3795,,
scania.com,18,0,238268,3.7474,0.4947,,Scania
parcelsapp.com,19,0,235425,1.2642,0.8034,https://static.semrush.com/power-pages/media/favicons/parcelsapp-com-favicon-3bfec6c8.png,
fedex.com,20,10,229839,2.3552,0.5222,,FedEx
