id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
blocket.se,1,0,17128139,3.2828,0.5362,https://static.semrush.com/power-pages/media/favicons/blocket-se-favicon-03076b37.png,Blocket
transportstyrelsen.se,2,3,2000815,2.8972,0.3492,,
biluppgifter.se,3,-1,1978226,2.2705,0.4095,,
car.info,4,0,1113606,4.6761,0.3989,,
carup.se,5,5,772262,1.4693,0.7343,,
bytbil.com,6,1,627036,7.836,0.3528,,
psauction.se,7,19,602648,8.5708,0.3776,,
vibilagare.se,8,12,556894,4.5452,0.5283,,
volvocars.com,9,15,531953,2.065,0.6125,,Volvo Cars
gptoday.com,10,0,510702,3.9149,0.1064,,
mekonomen.se,11,-5,468274,3.6726,0.393,,
rejsa.nu,12,0,461562,2.6251,0.2872,,
bildelsbasen.se,13,-4,453562,1.9677,0.5479,,
autodoc.se,14,-6,424308,3.548,0.4317,,
hedinbil.se,15,0,416988,2.1954,0.6237,,
skruvat.se,16,-1,392553,3.6912,0.5021,,
okq8.se,17,6,358925,1.7533,0.6741,,
jagrullar.se,18,-4,358616,1.7025,0.6412,,
riddermarkbil.se,19,-7,338322,1.5572,0.7148,,
garaget.org,20,-2,303070,2.3847,0.674,,
