id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
stackoverflow.com,1,0,2208823,1.3513,0.8245,https://static.semrush.com/power-pages/media/favicons/stackoverflow-com-favicon-d2a17223.ico,Stack Overflow
wiktionary.org,2,4,770445,1.4005,0.789,,Wiktionary
leo.org,3,0,642024,1.6832,0.5949,https://static.semrush.com/power-pages/media/favicons/leo-org-favicon-3f815d26.png,LEO.org
nouvelobs.com,4,8,634931,2.3932,0.4866,,
quizlet.com,5,0,611287,4.2137,0.4212,,Quizlet
stackexchange.com,6,2,552619,1.2496,0.8411,https://static.semrush.com/power-pages/media/favicons/stackexchange-com-favicon-52965f0b.ico,Stack Exchange
wordreference.com,7,-3,491893,2.4857,0.5503,https://static.semrush.com/power-pages/media/favicons/wordreference-com-favicon-91adcbae.png,WordReference.com
pons.com,8,-6,472361,2.1171,0.7266,https://static.semrush.com/power-pages/media/favicons/pons-com-favicon-eac0cf5a.ico,PONS
larousse.fr,9,0,445594,1.5414,0.7673,https://static.semrush.com/power-pages/media/favicons/www-larousse-fr-favicon-beb369ae.ico,Larousse
dict.cc,10,-3,443451,3.6965,0.3736,,
duolingo.com,11,-1,410447,1.753,0.7046,https://static.semrush.com/power-pages/media/favicons/duolingo-com-favicon-bcce2029.ico,Duolingo
pak-mcqs.net,12,1,343940,1.6985,0.5825,,
udemy.com,13,-2,288714,2.8047,0.625,https://static.semrush.com/power-pages/media/favicons/udemy-com-favicon-21d92c84.png,Udemy
linguee.fr,14,5,254278,1.6652,0.759,https://static.semrush.com/power-pages/media/favicons/linguee-fr-favicon-b56b3c21.png,Linguee France
w3schools.com,15,-1,246137,2.0551,0.6575,,W3Schools
studysmarter.de,16,11,244491,1.1083,0.9477,,
mozilla.org,17,1,235173,1.6953,0.7273,https://static.semrush.com/power-pages/media/favicons/mozilla-org-favicon-2af054fe.png,Mozilla
cambridge.org,18,-3,229400,1.3859,0.7809,https://static.semrush.com/power-pages/media/favicons/cambridge-org-favicon-3787ba24.ico,Cambridge
linguee.com,19,10,221904,1.5279,0.7525,https://static.semrush.com/power-pages/media/favicons/linguee-com-favicon-b56b3c21.png,Linguee
grammarly.com,20,8,217832,1.5637,0.6904,https://static.semrush.com/power-pages/media/favicons/grammarly-com-favicon-8bcab69b.png,Grammarly
