id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
microsoftonline.com,1,0,11581652,1.9006,0.5138,,
live.com,2,0,9924369,2.7991,0.3715,,
office.com,3,1,7056363,1.8117,0.6233,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico,SmartSystem
bs.to,4,-1,7022735,5.1515,0.259,,
outlook.com,5,0,3949090,1.4426,0.7465,https://static.semrush.com/power-pages/media/favicons/outlook-com-favicon-ac16fa7f.ico,Outlook
eduid.ch,6,0,2302680,3.4578,0.1888,,
zoom.us,7,1,1926314,2.3214,0.4234,https://static.semrush.com/power-pages/media/favicons/zoom-us-favicon-6216d0f4.ico,Zoom
ethz.ch,8,-1,1838648,5.4501,0.3958,,
uzh.ch,9,0,1829175,2.9046,0.5003,,
epfl.ch,10,1,1285342,4.0187,0.3254,,
google.it,11,4,1270045,4.2184,0.2299,,Google Italy
office365.com,12,7,1027697,2.0346,0.4923,https://static.semrush.com/power-pages/media/favicons/office365-com-favicon-12e3dac8.ico,Microsoft 365
hes-so.ch,13,0,975253,1.9264,0.6577,,
be.ch,14,0,940437,5.1814,0.4953,,
unil.ch,15,6,847729,3.1234,0.5001,,
fhnw.ch,16,1,843444,3.5824,0.4128,,
unige.ch,17,1,838308,3.3923,0.4439,,
google.co.uk,18,0,806701,4.7123,0.2416,,Google UK
schul-netz.com,19,10,751957,3.924,0.2951,,
gmail.com,20,-10,700480,1.1153,0.9071,https://static.semrush.com/power-pages/media/favicons/gmail-com-favicon-f3418a44.ico,Gmail
