id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
swisslos.ch,1,0,4151739,3.5874,0.4279,,
gmx.net,2,0,2266129,4.5545,0.1348,,GMX
loro.ch,3,0,1231094,1.4396,0.7349,,
web.de,4,0,445601,5.379,0.2528,,WEB.DE
bet365.com,5,0,352940,4.0051,0.4922,,Bet365
interwetten.com,6,1,287861,5.2719,0.3076,,
bc.game,7,0,211455,15.0302,0.0186,,
gamdom.com,8,0,194379,11.0546,0.1145,,
kkiosk.ch,9,6,152611,2.1238,0.7227,,
jackpots.ch,10,-4,152594,2.4162,0.4327,,
pasino.ch,11,-3,133125,2.9973,0.4523,,
williamhill.com,12,-2,116554,1.0437,0.9563,,
bwin.de,13,16,113927,1.3863,0.7717,,
casino777.ch,14,-5,111639,2.9465,0.5833,,
fdj.fr,15,-3,68234,1.9019,0.5165,https://static.semrush.com/power-pages/media/favicons/fdj-fr-favicon-3616dce4.png,FDJ
utakmice.net,16,-2,67882,1.1263,0.8737,,
sportradar.com,17,2,63297,1.178,0.8855,,
swiss4win.ch,18,7,53579,3.6841,0.2259,,
thehendonmob.com,19,7,51632,3.5762,0.1298,,
stake.com,20,-9,50752,2.7917,0.4916,,
