id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
nih.gov,1,0,857813,2.3428,0.6881,https://static.semrush.com/power-pages/media/favicons/nih-gov-favicon-6c30e540.ico,National Institutes of Health
swica.ch,2,2,681944,3.1857,0.2389,,
compendium.ch,3,3,636313,2.4098,0.6014,,
css.ch,4,1,632712,4.7458,0.3558,,
sanitas.com,5,-3,628590,4.4507,0.1446,,
helsana.ch,6,-3,506551,3.0197,0.4385,,
doccheck.com,7,0,461585,1.6997,0.7698,,
beobachter.ch,8,7,408361,1.1913,0.8782,,
msdmanuals.com,9,0,390587,1.4512,0.7656,https://static.semrush.com/power-pages/media/favicons/msdmanuals-com-favicon-8a33a4cf.ico,MSD manuals
hirslanden.ch,10,0,361744,1.7203,0.6908,,
onedoc.ch,11,0,344189,2.043,0.5655,,
chuv.ch,12,2,326289,3.4807,0.4336,,
usz.ch,13,0,316112,1.8555,0.5737,,
psychic.de,14,0,314560,9.15,0.175,,
healthline.com,15,-3,305867,1.2914,0.7655,,Healthline Media
visana.ch,16,14,223219,3.6103,0.3379,,
prospective.ch,17,-1,192166,1.4517,0.646,,
hug.ch,18,2,187869,1.5528,0.7948,,
ameli.fr,19,2,171191,2.0914,0.7829,https://static.semrush.com/power-pages/media/favicons/ameli-fr-favicon-64939eca.ico,L’Assurance Maladie
medicalnewstoday.com,20,2,158306,1.1902,0.8422,https://static.semrush.com/power-pages/media/favicons/medicalnewstoday-com-favicon-28e75580.png,Medical News Today
