id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
cint.com,1,2,284159,3.9121,0.2684,https://static.semrush.com/power-pages/media/favicons/cint-com-favicon-4d4d06c0.png,Cint
surveymonkey.com,2,0,257024,2.1354,0.5937,https://static.semrush.com/power-pages/media/favicons/surveymonkey-com-favicon-fff1c96e.png,Survey Monkey
ssisurveys.com,3,2,238982,2.2451,0.3555,,
qualtrics.com,4,-3,238944,1.7363,0.8279,https://static.semrush.com/power-pages/media/favicons/qualtrics-com-favicon-0a491c21.png,Qualtrics
link.ch,5,-1,113042,1.5963,0.6172,,
entscheiderclub.ch,6,6,83409,1.6423,0.5901,,
survio.com,7,2,55763,1.0477,0.9523,,
testingtime.com,8,-2,52472,1.9272,0.4646,,
confirmit.com,9,0,42946,1.5147,0.4853,,
demoscope.ch,10,0,42742,1.5541,0.5401,,
globaldata.com,11,3,34052,2.5839,0.3854,,
dynata.com,12,11,32886,1.026,0.974,,Dynata
quantilope.com,13,0,27112,1.2185,0.7815,,
lifepointspanel.com,14,-3,26797,3.7502,0.2831,,
mobrog.com,15,-5,24497,5.2541,0.3733,,
researchnow.com,16,0,22685,1.0126,0.9874,,
splendid-research.com,17,5,20734,1.2857,0.7143,,
gfk.com,18,-11,18592,1.7502,0.5962,,
decipherinc.com,19,0,18086,2.3548,0.0315,,
ipsos.com,20,-1,17225,1.172,0.828,,
